site_number,state,runway_id,runway_length,runway_width,runway_surface_type_condition,runway_surface_treatment,pavement_class,edge_lights_intensity,base_end_id,base_end_true_alignment,base_end_ils_type,base_end_right_traffic_pattern,base_end_markings_type,base_end_markings_condition,base_end_physical_latitude,base_end_physical_latitude_s,base_end_physical_longitude,base_end_physical_longitude_s,base_end_physical_elevation,base_end_crossing_height,base_end_glide_path_angle,base_end_displaced_latitude,base_end_displaced_latitude_s,base_end_displaced_longitude,base_end_displaced_longitude_s,base_end_displaced_elevation,base_end_displaced_length,base_end_tdz_elevation,base_end_vasi,base_end_rvr,base_end_rvv,base_end_als,base_end_reil,base_end_centerline_lights,base_end_touchdown_lights,base_end_object_description,base_end_object_mark_light,base_end_part77_category,base_end_object_clear_slope,base_end_object_height,base_end_object_distance,base_end_object_offset,reciprocal_end_id,reciprocal_end_true_alignment,reciprocal_end_ils_type,reciprocal_end_right_traffic_pattern,reciprocal_end_markings_type,reciprocal_end_markings_condition,reciprocal_end_physical_latitude,reciprocal_end_physical_latitude_s,reciprocal_end_physical_longitude,reciprocal_end_physical_longitude_s,reciprocal_end_physical_elevation,reciprocal_end_crossing_height,reciprocal_end_glide_path_angle,reciprocal_end_displaced_latitude,reciprocal_end_displaced_latitude_s,reciprocal_end_displaced_longitude,reciprocal_end_displaced_longitude_s,reciprocal_end_displaced_elevation,reciprocal_end_displaced_length,reciprocal_end_tdz_elevation,reciprocal_end_vasi,reciprocal_end_rvr,reciprocal_end_rvv,reciprocal_end_als,reciprocal_end_reil,reciprocal_end_centerline_lights,reciprocal_end_touchdown_lights,reciprocal_end_object_description,reciprocal_end_object_mark_light,reciprocal_end_part77_category,reciprocal_end_object_clear_slope,reciprocal_end_object_height,reciprocal_end_object_distance,reciprocal_end_object_offset,runway_length_source,runway_length_source_date,runway_weight_bearing_capacity_sw,runway_weight_bearing_capacity_dw,runway_weight_bearing_capacity_dt,runway_weight_bearing_capacity_ddt,base_end_gradient,base_end_gradient_direction,base_end_position_source,base_end_position_source_date,base_end_elevation_source,base_end_elevation_source_date,base_end_displaced_threshold_position_source,base_end_displaced_threshold_position_source_date,base_end_displaced_threshold_elevation_source,base_end_displaced_threshold_elevation_source_date,base_end_touchdown_zone_elevation_source,base_end_touchdown_zone_elevation_source_date,base_end_take_off_run_available_tora,base_end_take_off_distance_available_toda,base_end_aclt_stop_distance_available_asda,base_end_landing_distance_available_lda,base_end_landing_distance_available_lahso,base_end_landing_distance_available_lahso_int_rwy_id,base_end_landing_distance_available_lahso_int_entity_desc,base_end_landing_distance_available_lahso_hld_pt_latitude,base_end_landing_distance_available_lahso_hld_pt_latitude_s,base_end_landing_distance_available_lahso_hld_pt_longitude,base_end_landing_distance_available_lahso_hld_pt_longitude_s,base_end_landing_distance_available_lahso_coord_src,base_end_landing_distance_available_lahso_coord_src_date,reciprocal_end_gradient,reciprocal_end_gradient_direction,reciprocal_end_position_source,reciprocal_end_position_source_date,reciprocal_end_elevation_source,reciprocal_end_elevation_source_date,reciprocal_end_displaced_threshold_position_source,reciprocal_end_displaced_threshold_position_source_date,reciprocal_end_displaced_threshold_elevation_source,reciprocal_end_displaced_threshold_elevation_source_date,reciprocal_end_touchdown_zone_elevation_source,reciprocal_end_touchdown_zone_elevation_source_date,reciprocal_end_take_off_run_available_tora,reciprocal_end_take_off_distance_available_toda,reciprocal_end_aclt_stop_distance_available_asda,reciprocal_end_landing_distance_available_lda,reciprocal_end_landing_distance_available_lahso,reciprocal_end_landing_distance_available_lahso_int_rwy_id,reciprocal_end_landing_distance_available_lahso_int_entity_desc,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude,reciprocal_end_landing_distance_available_lahso_hld_pt_latitude_s,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude,reciprocal_end_landing_distance_available_lahso_hld_pt_longitude_s,reciprocal_end_landing_distance_available_lahso_coord_src,reciprocal_end_landing_distance_available_lahso_coord_src_date
00103.*A,AL,17/35,2900,80,ASPH-CONC-F,AFSC,,MED,17,172,,N,BSC,F,31-36-14.9900N,113774.9900N,085-14-20.2000W,306860.2000W,463.1,,,31-36-12.0500N,113772.0500N,085-14-19.7300W,306859.7300W,463.1,300,463.1,,,,,,,,PLINE,,A(V),29,36,1245,36L,35,352,,N,BSC,F,31-35-46.5600N,113746.5600N,085-14-15.6200W,306855.6200W,462.8,,,,,,,,,462.8,,,,,,,,TREE,,A(V),42,28,1390,70L,,,,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,,,,,,,,,,,,,,,,,,,,,
00106.*A,AL,05/23,2644,112,TURF-G,,,,05,49,,,NSTD,,34-12-53.1000N,123173.1000N,087-09-41.2200W,313781.2200W,786,,,,,,,,,,,,,,,,,TREES,,A(V),18,32,585,58L,23,229,,,NSTD,,34-13-10.3200N,123190.3200N,087-09-17.5200W,313757.5200W,776,,,,,,,,,,,,,,,,,TREES,,A(V),25,25,641,27R,OWNER,2011-08-08 00:00:00,,,,,,,OWNER,2011-08-08 00:00:00,FAA-EST IMAGERY,2010-09-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,OWNER,2011-08-08 00:00:00,FAA-EST IMAGERY,2010-09-29 00:00:00,,,,,,,,,,,,,,,,,,,
00110.*A,AL,16/34,5000,75,ASPH-G,,,MED,16,157,,N,NPI,G,33-11-02.8099N,119462.8099N,086-47-10.9568W,312430.9568W,572.7,57,3.5,,,,,,,572.7,P4L,,,,Y,,,BLDG,,C,20,70,1611,161R,34,337,,Y,NPI,G,33-10-17.1992N,119417.1992N,086-46-48.1798W,312408.1798W,585.6,44,4,,,,,,,585.6,P4L,,,,Y,,,BLDG,,C,24,60,1666,81R,STATE,2006-06-13 00:00:00,16,,,,,,3RD PARTY SURVEY,2008-10-12 00:00:00,3RD PARTY SURVEY,2008-10-12 00:00:00,,,,,3RD PARTY SURVEY,2008-10-12 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2008-10-12 00:00:00,3RD PARTY SURVEY,2008-10-12 00:00:00,,,,,3RD PARTY SURVEY,2008-10-12 00:00:00,,,,,,,,,,,,,
00112.1*A,AL,05/23,6114,100,ASPH-F,GRVD,,MED,05,48,,N,NPI,P,34-13-24.6869N,123204.6869N,086-15-47.9111W,310547.9111W,1002.7,42,3,,,,,,,1015.1,P2L,,,,,,,TREES,,C,23,55,1518,316L,23,228,,N,NPI,P,34-14-04.8966N,123244.8966N,086-14-53.5273W,310493.5273W,1032.3,42,3,,,,,,,1032.3,P2L,,,,Y,,,TREE,,C,35,55,2151,75R,3RD PARTY SURVEY,2007-10-27 00:00:00,60,90,130,,,,3RD PARTY SURVEY,2007-10-27 00:00:00,3RD PARTY SURVEY,2007-10-27 00:00:00,,,,,3RD PARTY SURVEY,2007-10-27 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2007-10-27 00:00:00,3RD PARTY SURVEY,2007-10-27 00:00:00,,,,,3RD PARTY SURVEY,2007-10-27 00:00:00,,,,,,,,,,,,,
00116.*A,AL,18/36,5422,96,ASPH-F,GRVD,,MED,18,178,,N,NPI,G,32-55-19.8713N,118519.8713N,085-57-48.0006W,309468.0006W,685.8,57,3,32-55-13.7182N,118513.7182N,085-57-47.6853W,309467.6853W,674.9,623,674.9,P4L,,,,,,,TREES,,B(V),4,47,424,111L,36,358,,N,NPI,G,32-54-26.2822N,118466.2822N,085-57-45.2549W,309465.2549W,611.9,50,3,,,,,,,648.4,P4L,,,,Y,,,TREES,,C,13,24,524,192R,3RD PARTY SURVEY,2010-01-19 00:00:00,30,,,,,,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,,,,,,,,,,,,,,,,3RD PARTY SURVEY,2010-01-19 00:00:00,3RD PARTY SURVEY,2010-01-19 00:00:00,,,,,3RD PARTY SURVEY,2010-01-19 00:00:00,,,,,,,,,,,,,
00119.*A,AL,06/24,5001,80,ASPH-G,,,MED,06,62,,N,NPI,G,33-06-12.5300N,119172.5300N,088-12-15.7000W,317535.7000W,142.8,,,,,,,,,143.2,,,,,Y,,,,,A(NP),17,7,320,31R,24,242,,N,NPI,G,33-06-36.0300N,119196.0300N,088-11-23.9600W,317483.9600W,149.8,,,,,,,,,150,,,,,Y,,,,,A(NP),24,72,1976,73R,NACO,2004-10-15 00:00:00,,,,,,,NACO,2004-10-15 00:00:00,NACO,2004-10-15 00:00:00,,,,,NACO,2004-10-15 00:00:00,,,,,,,,,,,,,,,,NACO,2004-10-15 00:00:00,NACO,2004-10-15 00:00:00,,,,,NACO,2004-10-15 00:00:00,,,,,,,,,,,,,
00124.*A,AL,11/29,6000,100,ASPH-G,,,MED,11,107,,,NPI,F,31-18-38.5737N,112718.5737N,086-24-05.1514W,311045.1514W,309.9,33,3,,,,,,,310.2,P4R,,,,Y,,,TREES,,C,22,43,1173,76L,29,287,,,NPI,F,31-18-21.5636N,112701.5636N,086-22-58.8933W,310978.8933W,299.9,47,3.5,,,,,,,308.3,P4L,,,,Y,,,,,C,50,,,,NGS,2010-04-14 00:00:00,98,160,275,,,,NGS,2010-04-14 00:00:00,NGS,2010-04-14 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,,,,NGS,2010-04-14 00:00:00,NGS,2010-04-14 00:00:00,,,,,AVN,2011-04-11 00:00:00,,,,,,,,,,,,,
00128.*A,AL,05/23,7000,150,ASPH-G,GRVD,10 /F/C/X/T,HIGH,05,48,ILS,Y,PIR,F,33-34-54.4446N,120894.4446N,085-52-00.1779W,309120.1779W,594.7,40,3,,,,,,,595.1,P4L,,,MALSR,,,,,,PIR,50,,,,23,228,,N,NPI,F,33-35-40.3670N,120940.3670N,085-50-58.2419W,309058.2419W,612,39,3,,,,,,,612,P4L,,,,Y,,,TREES,,C,25,40,2180,75L,NGS,2006-08-06 00:00:00,28,43.5,260,,,,NGS,2006-08-06 00:00:00,NGS,2000-03-18 00:00:00,,,,,NGS,2000-03-18 00:00:00,,,,,,,,,,,,,,,,NGS,2006-08-06 00:00:00,NGS,2006-08-08 00:00:00,,,,,NGS,2000-03-18 00:00:00,,,,,,,,,,,,,
00133.5*A,AL,01/19,2700,100,TURF-F,,,,01,11,,N,NSTD,P,34-58-31.5745N,125911.5745N,086-53-03.0187W,312783.0187W,922,,,,,,,,,,,,,,,,,TREE,,A(V),9,51,474,120L,19,191,,N,NSTD,P,34-58-57.7640N,125937.7640N,086-52-56.6320W,312776.6320W,901,,,,,,,,,,,,,,,,,TREE,,A(V),23,64,1522,73R,,,,,,,,,FAA-EST IMAGERY,2010-08-24 00:00:00,FAA-EST IMAGERY,2010-08-24 00:00:00,,,,,,,,,,,,,,,,,,,,,,FAA-EST IMAGERY,2010-08-24 00:00:00,FAA-EST IMAGERY,2010-08-24 00:00:00,,,,,,,,,,,,,,,,,,,
00135.*A,AL,09/27,4023,80,ASPH-G,,,MED,09,,,N,NPI,G,33-17-03.1100N,119823.1100N,085-48-55.9700W,308935.9700W,1065.9,,,33-17-03.1100N,119823.1100N,085-48-53.6100W,308933.6100W,,200,,,,,,Y,,,POLE,,A(V),21,35,969,18L,27,,,N,NPI,G,33-17-03.1100N,119823.1100N,085-48-08.5800W,308888.5800W,1057.3,,,,,,,,,,,,,,Y,,,TREE,,A(V),24,46,1317,2R,ADO,2012-08-23 00:00:00,20,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,ADO,2012-08-23 00:00:00,ADO,2012-08-23 00:00:00,,,,,4023,4023,,,,,,,,,,,,,,FAA-EST IMAGERY,2007-04-25 00:00:00,AIP,2012-08-23 00:00:00,,,,,,,3823,4023,,,,,,,,,,,
