CY 02 Rank,RO,State,Locid,Airport Name,City,Svc Lvl,Hub,CY 2002 Boardings,CY 2001 Boardings,% Change
1.0,SO,GA,ATL,"The William B Hartsfield 
Atlanta International",Atlanta,P,L,37720556.0,37181068.0,0.0145
2.0,GL,IL,ORD,Chicago O'Hare International,Chicago,P,L,31706328.0,31529561.0,0.0056
3.0,WP,CA,LAX,Los Angeles International,Los Angeles,P,L,26911570.0,29365436.0,-0.0836
4.0,SW,TX,DFW,Dallas / Fort Worth International,Fort Worth,P,L,24761105.0,25610562.0,-0.0332
5.0,WP,AZ,PHX,Phoenix Sky Harbor International,Phoenix,P,L,17271519.0,17478622.0,-0.0118
6.0,NM,CO,DEN,Denver International,Denver,P,L,16943564.0,17178872.0,-0.0137
7.0,WP,NV,LAS,McCarran International,Las Vegas,P,L,16600807.0,16633435.0,-0.002
8.0,SW,TX,IAH,George Bush Intercontinental,Houston,P,L,15865479.0,16173551.0,-0.019
9.0,GL,MN,MSP,"Minneapolis - St Paul International / 
Wold - Chamberlain / ",Minneapolis,P,L,15544039.0,15852433.0,-0.0195
10.0,GL,MI,DTW,Detroit Metropolitan Wayne County,Detroit,P,L,15525413.0,15819584.0,-0.0186
11.0,WP,CA,SFO,San Francisco International,San Francisco,P,L,14736137.0,16475611.0,-0.1056
12.0,EA,NJ,EWR,Newark Liberty International,Newark,P,L,14553843.0,15497560.0,-0.0609
13.0,EA,NY,JFK,John F Kennedy International,New York,P,L,14552411.0,14553815.0,-0.0001
14.0,SO,FL,MIA,Miami International,Miami,P,L,14020686.0,14941663.0,-0.0616
15.0,NM,WA,SEA,Seattle - Tacoma International,Seattle,P,L,12969024.0,13184630.0,-0.0164
16.0,SO,FL,MCO,Orlando International,Orlando,P,L,12921480.0,13622397.0,-0.0515
17.0,CE,MO,STL,Lambert - St Louis International,St. Louis,P,L,12474566.0,13264751.0,-0.0596
18.0,EA,PA,PHL,Philadelphia International,Philadelphia,P,L,11954469.0,11736129.0,0.0186
19.0,SO,NC,CLT,Charlotte / Douglas International,Charlotte,P,L,11743157.0,11548952.0,0.0168
20.0,NE,MA,BOS,"General Edward Lawrence 
Logan International",Boston,P,L,11077238.0,11739553.0,-0.0564
21.0,EA,NY,LGA,La Guardia,New York,P,L,11076032.0,11352248.0,-0.0243
22.0,SO,KY,CVG,"Cincinnati / 
Northern Kentucky International","Covington / 
Cincinnati, OH",P,L,10316170.0,8586907.0,0.2014
23.0,WP,HI,HNL,Honolulu International,Honolulu,P,L,9406467.0,9810860.0,-0.0412
24.0,EA,MD,BWI,"Baltimore - 
Washington International",Glen Burnie,P,L,9367499.0,10098665.0,-0.0724
25.0,NM,UT,SLC,Salt Lake City International,Salt Lake City,P,L,8997942.0,8951776.0,0.0052
26.0,EA,PA,PIT,Pittsburgh International,Pittsburgh,P,L,8975111.0,9939223.0,-0.097
27.0,SO,FL,FLL,"Fort Lauderdale / 
Hollywood International",Fort Lauderdale,P,L,8266788.0,8015055.0,0.0314
28.0,GL,IL,MDW,Chicago Midway International,Chicago,P,L,7878438.0,7112784.0,0.1076
29.0,EA,VA,IAD,Washington Dulles International,Dulles International ,P,L,7848911.0,8484112.0,-0.0749
30.0,SO,FL,TPA,Tampa International,Tampa,P,L,7726576.0,7901725.0,-0.0222
31.0,WP,CA,SAN,San Diego International,San Diego,P,L,7392389.0,7506320.0,-0.0152
32.0,EA,VA,DCA,"Ronald Reagan 
Washington National",Arlington,P,M,6172065.0,6267395.0,-0.0152
33.0,WP,CA,OAK,Metropolitan Oakland International,Oakland,P,M,6164548.0,5566100.0,0.1075
34.0,NM,OR,PDX,Portland International,Portland,P,M,5978025.0,6168103.0,-0.0308
35.0,WP,CA,SJC,"Norman Y. Mineta 
San Jose International",San Jose,P,M,5248193.0,5981440.0,-0.1226
36.0,SO,TN,MEM,Memphis International,Memphis,P,M,5231998.0,5560524.0,-0.0591
37.0,CE,MO,MCI,Kansas City International,Kansas City,P,M,5161518.0,5614347.0,-0.0807
38.0,GL,OH,CLE,Cleveland - Hopkins International,Cleveland,P,M,5146975.0,5633495.0,-0.0864
39.0,SO,PR,SJU,Luis Munoz Marin International,San Juan,P,M,4607290.0,4706307.0,-0.021
40.0,SW,LA,MSY,"Louis Armstrong 
New Orleans International",Metairie,P,M,4598838.0,4767533.0,-0.0354
41.0,WP,CA,SMF,Sacramento International,Sacramento,P,M,4260514.0,4021102.0,0.0595
42.0,SO,NC,RDU,Raleigh - Durham International,Raleigh,P,M,4198873.0,4890606.0,-0.1414
43.0,SO,TN,BNA,Nashville International,Nashville,P,M,4009959.0,4209465.0,-0.0474
44.0,WP,CA,SNA,John Wayne - Orange County,Santa Ana,P,M,3968978.0,3688304.0,0.0761
45.0,SW,TX,HOU,William P Hobby,Houston,P,M,3819306.0,4128980.0,-0.075
46.0,GL,IN,IND,Indianapolis International,Indianapolis,P,M,3411978.0,3595425.0,-0.051
47.0,GL,OH,CMH,Port Columbus International,Columbus,P,M,3283639.0,3296013.0,-0.0038
48.0,SW,TX,SAT,San Antonio International,San Antonio,P,M,3224764.0,3313545.0,-0.0268
49.0,NE,CT,BDL,Bradley International,Windsor Locks,P,M,3221081.0,3416243.0,-0.0571
50.0,SW,TX,AUS,Austin - Bergstrom International,Austin,P,M,3186381.0,3428202.0,-0.0705
51.0,WP,CA,ONT,Ontario International,Ontario,P,M,3092677.0,3168975.0,-0.0241
52.0,SW,NM,ABQ,Albuquerque International Sunport,Albuquerque,P,M,2973093.0,3095899.0,-0.0397
53.0,SW,TX,DAL,Dallas Love Field,Dallas,P,M,2815907.0,3352083.0,-0.16
54.0,GL,WI,MKE,General Mitchell International,Milwaukee,P,M,2779197.0,2825473.0,-0.0164
55.0,SO,FL,PBI,Palm Beach International,West Palm Beach,P,M,2716514.0,2954015.0,-0.0804
56.0,WP,HI,OGG,Kahului,Kahului,P,M,2663824.0,2777692.0,-0.041
57.0,NE,RI,PVD,Theodore Francis Green State,Warwick,P,M,2662721.0,2751762.0,-0.0324
58.0,SO,FL,RSW,Southwest Florida International,Fort Myers,P,M,2551187.0,2596005.0,-0.0173
59.0,SO,FL,JAX,Jacksonville International,Jacksonville,P,M,2462399.0,2523809.0,-0.0243
60.0,AL,AK,ANC,"Ted Stevens 
Anchorage International",Anchorage,P,M,2388563.0,2419261.0,-0.0127
61.0,WP,CA,BUR,Burbank - Glendale - Pasadena,Burbank,P,M,2305747.0,2250685.0,0.0245
62.0,WP,NV,RNO,Reno / Tahoe International,Reno,P,M,2170828.0,2388923.0,-0.0913
63.0,EA,NY,BUF,Buffalo Niagara International,Buffalo,P,M,2060710.0,2204087.0,-0.0651
64.0,CE,NE,OMA,Eppley Airfield,Omaha,P,M,1747320.0,1773894.0,-0.015
65.0,SO,KY,SDF,"Louisville International - 
Standiford Field",Louisville,P,M,1740526.0,1876499.0,-0.0725
66.0,EA,VA,ORF,Norfolk International,Norfolk,P,M,1731105.0,1478687.0,0.1707
67.0,WP,AZ,TUS,Tucson International,Tucson,P,M,1677341.0,1749560.0,-0.0413
68.0,NE,NH,MHT,Manchester,Manchester,P,M,1647797.0,1599062.0,0.0305
69.0,SW,OK,OKC,Will Rogers World,Oklahoma City,P,S,1579179.0,1675889.0,-0.0577
70.0,SW,TX,ELP,El Paso International,El Paso,P,S,1452631.0,1544734.0,-0.0596
71.0,SW,OK,TUL,Tulsa International,Tulsa,P,S,1450242.0,1627293.0,-0.1088
72.0,EA,NY,ALB,Albany International,Albany,P,S,1448263.0,1463632.0,-0.0105
73.0,SO,AL,BHM,Birmingham International,Birmingham,P,S,1405395.0,1505133.0,-0.0663
74.0,NM,ID,BOI,Boise Air Terminal / Gowen Field,Boise,P,S,1380227.0,1425007.0,-0.0314
75.0,WP,GU,GUM,Guam International,Agana,P,S,1375996.0,1489164.0,-0.076
76.0,NM,WA,GEG,Spokane International,Spokane,P,S,1354085.0,1423624.0,-0.0488
77.0,SO,NC,GSO,Piedmont Triad International,Greensboro,P,S,1262124.0,1317519.0,-0.042
78.0,WP,HI,LIH,Lihue,Lihue,P,S,1238972.0,1342287.0,-0.077
79.0,WP,HI,KOA,Kona International at Keahole,Kailua Kona,P,S,1200897.0,1235893.0,-0.0283
80.0,EA,NY,ROC,Greater Rochester International,Rochester,P,S,1176736.0,1132597.0,0.039
81.0,EA,VA,RIC,Richmond International,Highland Springs,P,S,1168023.0,1187681.0,-0.0166
82.0,GL,OH,DAY,James M Cox Dayton International,Dayton,P,S,1144295.0,1070456.0,0.069
83.0,SW,AR,LIT,Adams Field,Little Rock,P,S,1101623.0,1211753.0,-0.0909
84.0,NM,CO,COS,City of Colorado Springs Municipal,Colorado Springs,P,S,1038027.0,1050344.0,-0.0117
85.0,EA,NY,ISP,Long Island MacArthur,Islip,P,S,961601.0,1009919.0,-0.0478
