Rank,ST,Locid,City,Airport Name,Service Level,Hub Type,CY 2004 Boardings,CY 2003 Boardings,% Change
62.0,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2439969.0,2246683.0,0.086
126.0,AK,FAI,Fairbanks,Fairbanks International,P,S,420394.0,388841.0,0.0811
135.0,AK,JNU,Juneau,Juneau International,P,S,377505.0,366200.0,0.0309
196.0,AK,BET,Bethel,Bethel,P,N,140035.0,137782.0,0.0164
210.0,AK,KTN,Ketchikan,Ketchikan International,P,N,107141.0,103313.0,0.0371
218.0,AK,ENA,Kenai,Kenai Municipal,P,N,85439.0,84426.0,0.012
224.0,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,76150.0,69109.0,0.1019
241.0,AK,ADQ,Kodiak,Kodiak,P,N,66309.0,63284.0,0.0478
243.0,AK,OME,Nome,Nome,P,N,63725.0,57981.0,0.0991
251.0,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,58999.0,56458.0,0.045
256.0,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,49887.0,42193.0,0.1824
265.0,AK,DLG,Dillingham,Dillingham,P,N,46311.0,48168.0,-0.0386
284.0,AK,AKN,King Salmon,King Salmon,P,N,39030.0,37102.0,0.052
287.0,AK,HOM,Homer,Homer,P,N,38744.0,37990.0,0.0198
293.0,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,35178.0,35767.0,-0.0165
306.0,AK,DUT,Unalaska,Unalaska,P,N,29733.0,28843.0,0.0309
317.0,AK,MRI,Anchorage,Merrill Field,P,N,26504.0,11211.0,1.3641
330.0,AK,ANI,Aniak,Aniak,P,N,20660.0,18065.0,0.1436
336.0,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,19454.0,18275.0,0.0645
343.0,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,18022.0,17501.0,0.0298
344.0,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,17613.0,16599.0,0.0611
357.0,AK,SCC,Deadhorse,Deadhorse,P,N,14507.0,14033.0,0.0338
365.0,AK,LHD,Anchorage,Lake Hood,P,N,13040.0,23831.0,-0.4528
368.0,AK,GAL,Galena,Edward G. Pitka Sr,P,N,12667.0,11133.0,0.1378
372.0,AK,YAK,Yakutat,Yakutat,P,N,12400.0,11330.0,0.0944
378.0,AK,GST,Gustavus,Gustavus,P,N,11673.0,7105.0,0.6429
390.0,AK,HNH,Hoonah,Hoonah,P,N,10832.0,8715.0,0.2429
397.0,AK,WRG,Wrangell,Wrangell,P,N,10106.0,9252.0,0.0923
400.0,AK,SOV,Seldovia,Seldovia,CS,None,9968.0,10405.0,-0.042
