Rank,Locid,RO,ST,City,Airport Name,Svc Lvl,Hub,CY 06 Scheduled Boardings,CY 06 Unscheduled Boardings,CY 06 Total  Boardings
63.0,ANC,AL,AK,Anchorage,Ted Stevens Anchorage International,P,M,2173677.0,193713.0,2367390.0
130.0,FAI,AL,AK,Fairbanks,Fairbanks International,P,S,415724.0,9092.0,424816.0
136.0,JNU,AL,AK,Juneau,Juneau International,P,S,301037.0,93892.0,394929.0
201.0,BET,AL,AK,Bethel,Bethel,P,N,131074.0,6447.0,137521.0
211.0,KTN,AL,AK,Ketchikan,Ketchikan International,P,N,107217.0,885.0,108102.0
216.0,ENA,AL,AK,Kenai,Kenai Municipal,P,N,88201.0,5045.0,93246.0
230.0,SIT,AL,AK,Sitka,Sitka Rocky Gutierrez,P,N,71299.0,7619.0,78918.0
232.0,ADQ,AL,AK,Kodiak,Kodiak,P,N,73945.0,3398.0,77343.0
245.0,OTZ,AL,AK,Kotzebue,Ralph Wien Memorial,P,N,57879.0,5538.0,63417.0
246.0,OME,AL,AK,Nome,Nome,P,N,58783.0,4234.0,63017.0
271.0,DLG,AL,AK,Dillingham,Dillingham,P,N,31159.0,12261.0,43420.0
276.0,HOM,AL,AK,Homer,Homer,P,N,34404.0,5809.0,40213.0
278.0,BRW,AL,AK,Barrow,Wiley Post-Will Rogers Memorial,P,N,37770.0,1413.0,39183.0
281.0,AKN,AL,AK,King Salmon,King Salmon,P,N,35932.0,2288.0,38220.0
302.0,5KE,AL,AK,Ketchikan,Ketchikan Harbor,GA,-,5365.0,24513.0,29878.0
303.0,DUT,AL,AK,Unalaska,Unalaska,P,N,28879.0,381.0,29260.0
317.0,ANI,AL,AK,Aniak,Aniak,P,N,23886.0,2155.0,26041.0
329.0,SCC,AL,AK,Deadhorse,Deadhorse,P,N,20685.0,1276.0,21961.0
336.0,PSG,AL,AK,Petersburg,Petersburg James A Johnson,P,N,18900.0,998.0,19898.0
338.0,LHD,AL,AK,Anchorage,Lake Hood,P,N,776.0,17764.0,18540.0
344.0,CDV,AL,AK,Cordova,Merle K (Mudhole) Smith,P,N,17427.0,15.0,17442.0
352.0,VDZ,AL,AK,Valdez,Valdez Pioneer Field,P,N,15192.0,265.0,15457.0
366.0,KSM,AL,AK,St Mary's,St Mary's,P,N,12461.0,1283.0,13744.0
380.0,YAK,AL,AK,Yakutat,Yakutat,P,N,11586.0,0.0,11586.0
383.0,UNK,AL,AK,Unalakleet,Unalakleet,P,N,9755.0,1506.0,11261.0
384.0,GST,AL,AK,Gustavus,Gustavus,P,N,4302.0,6657.0,10959.0
385.0,MRI,AL,AK,Anchorage,Merrill Field,P,N,41.0,10779.0,10820.0
386.0,GAL,AL,AK,Galena,Edward G. Pitka Sr,P,N,10158.0,612.0,10770.0
388.0,ENM,AL,AK,Emmonak,Emmonak,P,N,9908.0,740.0,10648.0
390.0,MBA,AL,AK,Manokotak,Manokotak,P,N,704.0,9916.0,10620.0
391.0,WRG,AL,AK,Wrangell,Wrangell,P,N,10509.0,71.0,10580.0
403.0,SOV,AL,AK,Seldovia,Seldovia,CS,-,6437.0,3200.0,9637.0
407.0,ILI,AL,AK,Iliamna,Iliamna,CS,-,4666.0,4541.0,9207.0
408.0,CDB,AL,AK,Cold Bay,Cold Bay,CS,-,8697.0,456.0,9153.0
410.0,SGY,AL,AK,Skagway,Skagway,CS,-,7273.0,1765.0,9038.0
412.0,FYU,AL,AK,Fort Yukon,Fort Yukon,CS,-,8695.0,234.0,8929.0
415.0,HNH,AL,AK,Hoonah,Hoonah,CS,-,7629.0,986.0,8615.0
419.0,DGG,AL,AK,Red Dog Mine,Red Dog,GA,-,105.0,8370.0,8475.0
425.0,AQY,AL,AK,Girdwood,Girdwood,GA,-,0.0,8100.0,8100.0
429.0,EDF,AL,AK,Anchorage,Elmendorf AFB,GA,-,0.0,7866.0,7866.0
434.0,AQH,AL,AK,Quinhagak,Quinhagak,CS,-,7091.0,157.0,7248.0
436.0,HNS,AL,AK,Haines,Haines,CS,-,6435.0,636.0,7071.0
440.0,D76,AL,AK,Noorvik,Robert /Bob/ Curtis Memorial,CS,-,5548.0,1336.0,6884.0
444.0,WLK,AL,AK,Selawik,Selawik,CS,-,5711.0,793.0,6504.0
449.0,HPB,AL,AK,Hooper Bay,Hooper Bay,CS,-,5678.0,649.0,6327.0
450.0,BLG,AL,AK,Beluga,Beluga,GA,-,0.0,6308.0,6308.0
455.0,IIK,AL,AK,Kipnuk,Kipnuk,CS,-,5699.0,194.0,5893.0
459.0,WTK,AL,AK,Noatak,Noatak,CS,-,4657.0,947.0,5604.0
463.0,BVK,AL,AK,Buckland,Buckland,CS,-,4290.0,902.0,5192.0
466.0,SHH,AL,AK,Shishmaref,Shishmaref,CS,-,4593.0,447.0,5040.0
467.0,MOU,AL,AK,Mountain Village,Mountain Village,CS,-,3458.0,1555.0,5013.0
468.0,MCG,AL,AK,McGrath,McGrath,CS,-,3782.0,1224.0,5006.0
469.0,IAN,AL,AK,Kiana,Bob Baker Memorial,CS,-,4268.0,732.0,5000.0
472.0,BTI,AL,AK,Kaktovik,Barter Island LRRS,CS,-,4139.0,803.0,4942.0
473.0,PHO,AL,AK,Point Hope,Point Hope,CS,-,4359.0,541.0,4900.0
474.0,AQT,AL,AK,Nuiqsut,Nuiqsut,CS,-,4751.0,131.0,4882.0
475.0,KLG,AL,AK,Kalskag,Kalskag,CS,-,4042.0,810.0,4852.0
476.0,VAK,AL,AK,Chevak,Chevak,CS,-,4397.0,394.0,4791.0
483.0,OOK,AL,AK,Toksook Bay,Toksook Bay,CS,-,4344.0,239.0,4583.0
485.0,SVA,AL,AK,Savoonga,Savoonga,CS,-,4013.0,387.0,4400.0
487.0,AWI,AL,AK,Wainwright,Wainwright,CS,-,4189.0,135.0,4324.0
488.0,GAM,AL,AK,Gambell,Gambell,CS,-,3990.0,320.0,4310.0
490.0,Z09,AL,AK,Kasigluk,Kasigluk,CS,-,3585.0,633.0,4218.0
493.0,SCM,AL,AK,Scammon Bay,Scammon Bay,CS,-,3174.0,957.0,4131.0
494.0,SDP,AL,AK,Sand Point,Sand Point,CS,-,4006.0,111.0,4117.0
495.0,KVL,AL,AK,Kivalina,Kivalina,CS,-,3446.0,587.0,4033.0
498.0,DUY,AL,AK,Kongiganak,Kongiganak,CS,-,3893.0,115.0,4008.0
501.0,GGV,AL,AK,Kwigillingok,Kwigillingok,CS,-,3745.0,114.0,3859.0
504.0,ELI,AL,AK,Elim,Elim,CS,-,3411.0,361.0,3772.0
505.0,KKA,AL,AK,Koyuk,Koyuk Alfred Adams,CS,-,3312.0,454.0,3766.0
509.0,0AK,AL,AK,Pilot Station,Pilot Station,CS,-,2830.0,863.0,3693.0
510.0,A61,AL,AK,Tuntutuliak,Tuntutuliak,CS,-,3437.0,250.0,3687.0
513.0,2A9,AL,AK,Kotlik,Kotlik,CS,-,3055.0,599.0,3654.0
515.0,TAL,AL,AK,Tanana,Ralph M Calhoun Memorial,CS,-,3406.0,186.0,3592.0
517.0,CFK,AL,AK,Chefornak,Chefornak,CS,-,3308.0,262.0,3570.0
518.0,AUK,AL,AK,Alakanuk,Alakanuk,CS,-,3058.0,460.0,3518.0
520.0,TYE,AL,AK,Tyonek,Tyonek,GA,-,0.0,3445.0,3445.0
521.0,AKP,AL,AK,Anaktuvuk Pass,Anaktuvuk Pass,CS,-,3032.0,412.0,3444.0
523.0,PGM,AL,AK,Port Graham,Port Graham,CS,-,2454.0,909.0,3363.0
524.0,KEB,AL,AK,English Bay,Nanwalek,CS,-,2720.0,638.0,3358.0
