Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY2007 Enplanements,CY 2006 Enplanements,% Change
61.0,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2617964.0,2367390.0,0.1058
126.0,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,449076.0,424816.0,0.0571
136.0,AL,AK,JNU,Juneau,Juneau International,P,S,403825.0,394929.0,0.0225
201.0,AL,AK,BET,Bethel,Bethel,P,N,143341.0,137521.0,0.0423
214.0,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,111048.0,108102.0,0.0273
223.0,AL,AK,ENA,Kenai,Kenai Municipal,P,N,94720.0,93246.0,0.0158
233.0,AL,AK,ADQ,Kodiak,Kodiak,P,N,81713.0,77343.0,0.0565
238.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,74518.0,78918.0,-0.0558
247.0,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,64717.0,63417.0,0.0205
249.0,AL,AK,OME,Nome,Nome,P,N,62915.0,63017.0,-0.0016
261.0,AL,AK,SCC,Deadhorse,Deadhorse,P,N,52517.0,21961.0,1.3914
277.0,AL,AK,HOM,Homer,Homer,P,N,44114.0,40213.0,0.097
280.0,AL,AK,DLG,Dillingham,Dillingham,P,N,42617.0,43420.0,-0.0185
281.0,AL,AK,AKN,King Salmon,King Salmon,P,N,42253.0,38220.0,0.1055
282.0,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,41085.0,29878.0,0.3751
284.0,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,39009.0,39183.0,-0.0044
298.0,AL,AK,DUT,Unalaska,Unalaska,P,N,30581.0,29260.0,0.0451
330.0,AL,AK,ANI,Aniak,Aniak,P,N,23803.0,26041.0,-0.0859
331.0,AL,AK,LHD,Anchorage,Lake Hood,P,N,23647.0,18540.0,0.2755
340.0,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,20543.0,19898.0,0.0324
349.0,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,16759.0,17442.0,-0.0392
355.0,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,16225.0,15457.0,0.0497
370.0,AL,AK,KSM,St Mary's,St Mary's,P,N,14258.0,13744.0,0.0374
377.0,AL,AK,SGY,Skagway,Skagway,P,N,13156.0,9038.0,0.4556
381.0,AL,AK,ENM,Emmonak,Emmonak,P,N,12638.0,10648.0,0.1869
392.0,AL,AK,WRG,Wrangell,Wrangell,P,N,11588.0,10580.0,0.0953
396.0,AL,AK,YAK,Yakutat,Yakutat,P,N,11443.0,11586.0,-0.0123
397.0,AL,AK,UNK,Unalakleet,Unalakleet,P,N,11249.0,11261.0,-0.0011
403.0,AL,AK,MBA,Manokotak,Manokotak,P,N,10869.0,10620.0,0.0234
416.0,AL,AK,MRI,Anchorage,Merrill Field,CS,None,9204.0,10820.0,-0.1494
419.0,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,9085.0,8929.0,0.0175
420.0,AL,AK,SOV,Seldovia,Seldovia,CS,None,9081.0,9637.0,-0.0577
421.0,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,9040.0,8475.0,0.0667
422.0,AL,AK,GAL,Galena,Edward G. Pitka Sr,CS,None,8909.0,10770.0,-0.1728
424.0,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,8721.0,9153.0,-0.0472
427.0,AL,AK,HNH,Hoonah,Hoonah,CS,None,8482.0,8615.0,-0.0154
429.0,AL,AK,ILI,Iliamna,Iliamna,CS,None,8153.0,9207.0,-0.1145
430.0,AL,AK,AQY,Girdwood,Girdwood,GA,None,7850.0,8100.0,-0.0309
433.0,AL,AK,HNS,Haines,Haines,CS,None,7554.0,7071.0,0.0683
438.0,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,7373.0,7248.0,0.0172
444.0,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,6523.0,6884.0,-0.0524
446.0,AL,AK,WLK,Selawik,Selawik,CS,None,6380.0,6504.0,-0.0191
447.0,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,6321.0,6327.0,-0.0009
448.0,AL,AK,CGA,Craig,Craig,CS,None,6300.0,2517.0,1.503
456.0,AL,AK,AWI,Wainwright,Wainwright,CS,None,5559.0,4324.0,0.2856
457.0,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,5528.0,5013.0,0.1027
459.0,AL,AK,WTK,Noatak,Noatak,CS,None,5210.0,5604.0,-0.0703
460.0,AL,AK,GST,Gustavus,Gustavus,CS,None,5197.0,10959.0,-0.5258
461.0,AL,AK,MCG,McGrath,McGrath,CS,None,5190.0,5006.0,0.0368
462.0,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,5189.0,5893.0,-0.1195
467.0,AL,AK,PHO,Point Hope,Point Hope,CS,None,5091.0,4900.0,0.039
472.0,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,4875.0,4583.0,0.0637
475.0,AL,AK,BVK,Buckland,Buckland,CS,None,4776.0,5192.0,-0.0801
478.0,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,4734.0,5000.0,-0.0532
479.0,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,4732.0,5040.0,-0.0611
480.0,AL,AK,VAK,Chevak,Chevak,CS,None,4641.0,4791.0,-0.0313
482.0,AL,AK,AQT,Nuiqsut,Nuiqsut,CS,None,4545.0,4882.0,-0.069
484.0,AL,AK,SVA,Savoonga,Savoonga,CS,None,4467.0,4400.0,0.0152
486.0,AL,AK,KLG,Kalskag,Kalskag,CS,None,4420.0,4852.0,-0.089
487.0,AL,AK,GAM,Gambell,Gambell,CS,None,4372.0,4310.0,0.0144
489.0,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4309.0,4131.0,0.0431
490.0,AL,AK,5Z9,Katmai National Park,Lake Brooks,GA,None,4295.0,2304.0,0.8641
492.0,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,4239.0,3693.0,0.1478
497.0,AL,AK,2A9,Kotlik,Kotlik,CS,None,4117.0,3654.0,0.1267
498.0,AL,AK,SDP,Sand Point,Sand Point,CS,None,4105.0,4117.0,-0.0029
502.0,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,4001.0,4218.0,-0.0514
505.0,AL,AK,BLG,Beluga,Beluga,GA,None,3951.0,6308.0,-0.3737
506.0,AL,AK,KVL,Kivalina,Kivalina,CS,None,3941.0,4033.0,-0.0228
507.0,AL,AK,MTM,Metlakatla,Metlakatla,CS,None,3932.0,2329.0,0.6883
508.0,AL,AK,UBW,Kuparuk,Ugnu-Kuparuk,GA,None,3865.0,61.0,62.3607
511.0,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,3763.0,3687.0,0.0206
513.0,AL,AK,EEK,Eek,Eek,CS,None,3759.0,3241.0,0.1598
514.0,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3749.0,3444.0,0.0886
516.0,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,3719.0,3592.0,0.0354
517.0,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3716.0,4008.0,-0.0729
518.0,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,None,3695.0,4942.0,-0.2523
520.0,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,3527.0,3518.0,0.0026
521.0,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3476.0,3859.0,-0.0992
522.0,AL,AK,NUL,Nulato,Nulato,CS,None,3465.0,3335.0,0.039
526.0,AL,AK,CFK,Chefornak,Chefornak,CS,None,3391.0,3570.0,-0.0501
529.0,AL,AK,SMK,St Michael,St Michael,CS,None,3302.0,2927.0,0.1281
530.0,AL,AK,TYE,Tyonek,Tyonek,GA,None,3260.0,3445.0,-0.0537
532.0,AL,AK,HLA,Huslia,Huslia,CS,None,3215.0,3337.0,-0.0366
534.0,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,CS,None,3192.0,3766.0,-0.1524
535.0,AL,AK,KEB,English Bay,Nanwalek,CS,None,3191.0,3358.0,-0.0497
536.0,AL,AK,ELI,Elim,Elim,CS,None,3189.0,3772.0,-0.1546
538.0,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,3152.0,2821.0,0.1173
542.0,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,3090.0,2727.0,0.1331
543.0,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,3077.0,2636.0,0.1673
544.0,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,3064.0,3313.0,-0.0752
549.0,AL,AK,PGM,Port Graham,Port Graham,CS,None,2953.0,3363.0,-0.1219
550.0,AL,AK,6R7,Old Harbor,Old Harbor,CS,None,2946.0,2620.0,0.1244
551.0,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,2944.0,2699.0,0.0908
552.0,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,2923.0,2329.0,0.255
554.0,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,2883.0,2168.0,0.3298
556.0,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,CS,None,2819.0,2929.0,-0.0376
563.0,AL,AK,KTS,Brevig Mission,Brevig Mission,CS,None,2696.0,3152.0,-0.1447
564.0,AL,AK,KTB,Thorne Bay,Thorne Bay,CS,None,2648.0,1418.0,0.8674
567.0,AL,AK,4A2,Atmautluak,Atmautluak,CS,None,2613.0,2018.0,0.2948
568.0,AL,AK,Z13,Akiachak,Akiachak,CS,None,2607.0,1811.0,0.4395
569.0,AL,AK,N93,Golovin,Golovin,CS,None,2605.0,2868.0,-0.0917
572.0,AL,AK,T44,Kodiak,Trident Basin,GA,None,2561.0,2788.0,-0.0814
574.0,AL,AK,WMO,White Mountain,White Mountain,CS,None,2516.0,2821.0,-0.1081
575.0,AL,AK,6A8,Allakaket,Allakaket,CS,None,2505.0,1969.0,0.2722
580.0,AL,AK,SHG,Shungnak,Shungnak,GA,None,2452.0,2643.0,-0.0723
581.0,AL,AK,RBY,Ruby,Ruby,GA,None,2450.0,2340.0,0.047
583.0,AL,AK,AFM,Ambler,Ambler,GA,None,2354.0,2371.0,-0.0072
584.0,AL,AK,WBB,Stebbins,Stebbins,GA,None,2349.0,2428.0,-0.0325
585.0,AL,AK,EWU,Newtok,Newtok,GA,None,2348.0,2103.0,0.1165
586.0,AL,AK,KVC,King Cove,King Cove,GA,None,2332.0,2783.0,-0.1621
587.0,AL,AK,ORI,Port Lions,Port Lions,GA,None,2311.0,2162.0,0.0689
588.0,AL,AK,2C7,Shaktoolik,Shaktoolik,GA,None,2289.0,2196.0,0.0423
590.0,AL,AK,KAL,Kaltag,Kaltag,GA,None,2268.0,2601.0,-0.128
591.0,AL,AK,HCA,Holy Cross,Holy Cross,GA,None,2244.0,2042.0,0.0989
592.0,AL,AK,KWF,Waterfall,Waterfall,GA,None,2237.0,1444.0,0.5492
593.0,AL,AK,KAE,Kake,Kake,GA,None,2233.0,2743.0,-0.1859
598.0,AL,AK,PIZ,Point Lay,Point Lay LRRS,GA,None,2172.0,2125.0,0.0221
599.0,AL,AK,DEE,Deering,Deering,GA,None,2154.0,2517.0,-0.1442
602.0,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,GA,None,2102.0,1859.0,0.1307
610.0,AL,AK,UUO,Willow,Willow,GA,None,2025.0,1605.0,0.2617
614.0,AL,AK,4KA,Tununak,Tununak,GA,None,2001.0,1759.0,0.1376
616.0,AL,AK,AKI,Akiak,Akiak,GA,None,1983.0,1483.0,0.3372
617.0,AL,AK,TER,Teller,Teller,GA,None,1948.0,2548.0,-0.2355
620.0,AL,AK,4K5,Ouzinkie,Ouzinkie,GA,None,1914.0,1695.0,0.1292
623.0,AL,AK,AGN,Angoon,Angoon,GA,None,1896.0,2080.0,-0.0885
624.0,AL,AK,TOG,Togiak Village,Togiak,GA,None,1886.0,3119.0,-0.3953
625.0,AL,AK,EIL,Fairbanks,Eielson AFB,GA,None,1867.0,1110.0,0.682
626.0,AL,AK,PKA,Napaskiak,Napaskiak,GA,None,1858.0,914.0,1.0328
628.0,AL,AK,WNA,Napakiak,Napakiak,GA,None,1828.0,1246.0,0.4671
630.0,AL,AK,VEE,Venetie,Venetie,GA,None,1774.0,1788.0,-0.0078
631.0,AL,AK,9K2,Kokhanok,Kokhanok,GA,None,1765.0,1610.0,0.0963
632.0,AL,AK,MYU,Mekoryuk,Mekoryuk,GA,None,1736.0,1614.0,0.0756
633.0,AL,AK,KQA,Akutan,Akutan,GA,None,1733.0,1714.0,0.0111
639.0,AL,AK,5NN,Nondalton,Nondalton,GA,None,1679.0,2162.0,-0.2234
640.0,AL,AK,IGT,Nightmute,Nightmute,GA,None,1659.0,1642.0,0.0104
643.0,AL,AK,IWK,Wales,Wales,GA,None,1638.0,1863.0,-0.1208
645.0,AL,AK,SXP,Sheldon Point,Sheldon Point,GA,None,1628.0,1391.0,0.1704
648.0,AL,AK,ARC,Arctic Village,Arctic Village,GA,None,1584.0,1547.0,0.0239
649.0,AL,AK,GNU,Goodnews Bay,Goodnews,GA,None,1567.0,1286.0,0.2185
651.0,AL,AK,FBK,Fairbanks/Ft Wainwright,Ladd AAF,GA,None,1539.0,2076.0,-0.2587
