Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 08 Boardings,CY07 Boardings,% Change
61.0,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2599313.0,2617964.0,-0.0071
122.0,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,456947.0,449076.0,0.0175
136.0,AL,AK,JNU,Juneau,Juneau International,P,S,378741.0,403825.0,-0.0621
202.0,AL,AK,BET,Bethel,Bethel,P,N,140291.0,143341.0,-0.0213
215.0,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,108837.0,111048.0,-0.0199
221.0,AL,AK,SCC,Deadhorse,Deadhorse,P,N,99719.0,52517.0,0.8988
223.0,AL,AK,ENA,Kenai,Kenai Municipal,P,N,96565.0,94720.0,0.0195
235.0,AL,AK,ADQ,Kodiak,Kodiak,P,N,82057.0,81713.0,0.0042
246.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,68197.0,74518.0,-0.0848
248.0,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,66322.0,64717.0,0.0248
255.0,AL,AK,OME,Nome,Nome,P,N,59984.0,62915.0,-0.0466
278.0,AL,AK,HOM,Homer,Homer,P,N,44288.0,44114.0,0.0039
281.0,AL,AK,AKN,King Salmon,King Salmon,P,N,42310.0,42253.0,0.0013
282.0,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,40674.0,39009.0,0.0427
284.0,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,38945.0,41085.0,-0.0521
300.0,AL,AK,DLG,Dillingham,Dillingham,P,N,32215.0,42617.0,-0.2441
310.0,AL,AK,DUT,Unalaska,Unalaska,P,N,28234.0,30581.0,-0.0767
336.0,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,19901.0,20543.0,-0.0313
342.0,AL,AK,ANI,Aniak,Aniak,P,N,18526.0,23803.0,-0.2217
350.0,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,16640.0,16759.0,-0.0071
359.0,AL,AK,MRI,Anchorage,Merrill Field,P,N,15206.0,9204.0,0.6521
361.0,AL,AK,LHD,Anchorage,Lake Hood,P,N,15184.0,23647.0,-0.3579
362.0,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,14981.0,16225.0,-0.0767
371.0,AL,AK,MBA,Manokotak,Manokotak,P,N,13393.0,10869.0,0.2322
381.0,AL,AK,UNK,Unalakleet,Unalakleet,P,N,12327.0,11249.0,0.0958
384.0,AL,AK,GST,Gustavus,Gustavus,P,N,11828.0,5197.0,1.2759
390.0,AL,AK,T44,Kodiak,Trident Basin,GA,None,11218.0,2561.0,3.3803
394.0,AL,AK,YAK,Yakutat,Yakutat,P,N,11028.0,11443.0,-0.0363
395.0,AL,AK,SGY,Skagway,Skagway,P,N,10727.0,13156.0,-0.1846
399.0,AL,AK,WRG,Wrangell,Wrangell,P,N,10601.0,11588.0,-0.0852
409.0,AL,AK,KSM,St Mary's,St Mary's,CS,None,9808.0,14258.0,-0.3121
410.0,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,9599.0,9040.0,0.0618
411.0,AL,AK,ILI,Iliamna,Iliamna,CS,None,9545.0,8153.0,0.1707
414.0,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,9105.0,8721.0,0.044
415.0,AL,AK,ENM,Emmonak,Emmonak,CS,None,9097.0,12638.0,-0.2802
422.0,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,8298.0,9085.0,-0.0866
426.0,AL,AK,GAL,Galena,Edward G. Pitka Sr,CS,None,7784.0,8909.0,-0.1263
429.0,AL,AK,SOV,Seldovia,Seldovia,CS,None,7696.0,9081.0,-0.1525
430.0,AL,AK,HNH,Hoonah,Hoonah,CS,None,7680.0,8482.0,-0.0946
437.0,AL,AK,HNS,Haines,Haines,CS,None,7035.0,7554.0,-0.0687
438.0,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,6950.0,7373.0,-0.0574
441.0,AL,AK,EIL,Fairbanks,Eielson AFB,GA,None,6486.0,1867.0,2.474
446.0,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,6055.0,6523.0,-0.0717
447.0,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,6002.0,6321.0,-0.0505
448.0,AL,AK,WLK,Selawik,Selawik,CS,None,5920.0,6380.0,-0.0721
449.0,AL,AK,CGA,Craig,Craig,CS,None,5844.0,6300.0,-0.0724
451.0,AL,AK,5Z9,Katmai National Park,Lake Brooks,GA,None,5547.0,4295.0,0.2915
452.0,AL,AK,WTK,Noatak,Noatak,CS,None,5536.0,5210.0,0.0626
458.0,AL,AK,MCG,McGrath,McGrath,CS,None,5278.0,5190.0,0.017
460.0,AL,AK,PHO,Point Hope,Point Hope,CS,None,5236.0,5091.0,0.0285
462.0,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,5100.0,5528.0,-0.0774
466.0,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,4924.0,5189.0,-0.0511
470.0,AL,AK,VAK,Chevak,Chevak,CS,None,4741.0,4641.0,0.0215
478.0,AL,AK,SDP,Sand Point,Sand Point,CS,None,4296.0,4105.0,0.0465
480.0,AL,AK,2A9,Kotlik,Kotlik,CS,None,4237.0,4117.0,0.0291
484.0,AL,AK,SVA,Savoonga,Savoonga,CS,None,4156.0,4467.0,-0.0696
485.0,AL,AK,EDF,Anchorage,Elmendorf AFB,GA,None,4152.0,1091.0,2.8057
487.0,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,4103.0,4875.0,-0.1584
488.0,AL,AK,BVK,Buckland,Buckland,CS,None,4016.0,4776.0,-0.1591
489.0,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,4015.0,3527.0,0.1384
491.0,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,3907.0,4734.0,-0.1747
492.0,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,3871.0,4001.0,-0.0325
493.0,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,3861.0,4309.0,-0.104
494.0,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3835.0,3716.0,0.032
495.0,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3832.0,3749.0,0.0221
496.0,AL,AK,GAM,Gambell,Gambell,CS,None,3793.0,4372.0,-0.1324
497.0,AL,AK,KVL,Kivalina,Kivalina,CS,None,3784.0,3941.0,-0.0398
502.0,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3563.0,4239.0,-0.1595
504.0,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,3549.0,3719.0,-0.0457
505.0,AL,AK,AWI,Wainwright,Wainwright,CS,None,3547.0,5559.0,-0.3619
506.0,AL,AK,KEB,English Bay,Nanwalek,CS,None,3533.0,3191.0,0.1072
507.0,AL,AK,SMK,St Michael,St Michael,CS,None,3493.0,3302.0,0.0578
508.0,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,3476.0,4732.0,-0.2654
510.0,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,3359.0,3763.0,-0.1074
511.0,AL,AK,MTM,Metlakatla,Metlakatla,CS,None,3344.0,3932.0,-0.1495
513.0,AL,AK,HLA,Huslia,Huslia,CS,None,3331.0,3215.0,0.0361
515.0,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,3301.0,3064.0,0.0773
516.0,AL,AK,EEK,Eek,Eek,CS,None,3292.0,3759.0,-0.1242
517.0,AL,AK,6R7,Old Harbor,Old Harbor,CS,None,3282.0,2946.0,0.1141
518.0,AL,AK,CFK,Chefornak,Chefornak,CS,None,3236.0,3391.0,-0.0457
523.0,AL,AK,KLG,Kalskag,Kalskag,CS,None,3147.0,4420.0,-0.288
526.0,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,3083.0,3476.0,-0.1131
527.0,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,None,3029.0,3695.0,-0.1802
531.0,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,2933.0,2944.0,-0.0037
533.0,AL,AK,NUL,Nulato,Nulato,CS,None,2917.0,3465.0,-0.1582
534.0,AL,AK,PGM,Port Graham,Port Graham,CS,None,2916.0,2953.0,-0.0125
535.0,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,2892.0,3077.0,-0.0601
538.0,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,2850.0,3152.0,-0.0958
540.0,AL,AK,AQT,Nuiqsut,Nuiqsut,CS,None,2819.0,4545.0,-0.3798
544.0,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,2708.0,3090.0,-0.1236
545.0,AL,AK,UUO,Willow,Willow,CS,None,2703.0,2025.0,0.3348
547.0,AL,AK,KVC,King Cove,King Cove,CS,None,2647.0,2332.0,0.1351
549.0,AL,AK,KTB,Thorne Bay,Thorne Bay,CS,None,2640.0,2648.0,-0.003
