Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 10 Enplanements,CY 09 Enplanements,% Change
60.0,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2342310.0,2282666.0,0.0261
122.0,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,435392.0,424496.0,0.0257
144.0,AL,AK,JNU,Juneau,Juneau International,P,N,344057.0,337038.0,0.0208
198.0,AL,AK,BET,Bethel,Bethel,P,N,144353.0,134848.0,0.0705
219.0,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,100138.0,96996.0,0.0324
233.0,AL,AK,ENA,Kenai,Kenai Municipal,P,N,86857.0,82277.0,0.0557
240.0,AL,AK,ADQ,Kodiak,Kodiak,P,N,80303.0,78375.0,0.0246
250.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,64536.0,62498.0,0.0326
252.0,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,62177.0,57472.0,0.0819
260.0,AL,AK,OME,Nome,Nome,P,N,56658.0,54994.0,0.0303
278.0,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,43737.0,40462.0,0.0809
279.0,AL,AK,DLG,Dillingham,Dillingham,P,N,42927.0,29374.0,0.4614
281.0,AL,AK,AKN,King Salmon,King Salmon,P,N,41514.0,40637.0,0.0216
283.0,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,40141.0,39494.0,0.0164
286.0,AL,AK,HOM,Homer,Homer,P,N,38407.0,38536.0,-0.0033
291.0,AL,AK,SCC,Deadhorse,Deadhorse,P,N,37319.0,31395.0,0.1887
312.0,AL,AK,DUT,Unalaska,Unalaska,P,N,26711.0,26705.0,0.0002
340.0,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,18468.0,17988.0,0.0267
342.0,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,17856.0,15372.0,0.1616
348.0,AL,AK,ANI,Aniak,Aniak,P,N,16394.0,16255.0,0.0086
350.0,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,15739.0,14363.0,0.0958
353.0,AL,AK,MRI,Anchorage,Merrill Field,P,N,14972.0,14769.0,0.0137
374.0,AL,AK,UNK,Unalakleet,Unalakleet,P,N,12693.0,10571.0,0.2007
375.0,AL,AK,GAL,Galena,Edward G. Pitka Sr,P,N,12421.0,7447.0,0.6679
376.0,AL,AK,MBA,Manokotak,Manokotak,P,N,12409.0,13570.0,-0.0856
391.0,AL,AK,WRG,Wrangell,Wrangell,P,N,10882.0,10790.0,0.0085
392.0,AL,AK,HNH,Hoonah,Hoonah,P,N,10759.0,7651.0,0.4062
396.0,AL,AK,ENM,Emmonak,Emmonak,P,N,10537.0,9872.0,0.0674
399.0,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,10189.0,9041.0,0.127
401.0,AL,AK,YAK,Yakutat,Yakutat,P,N,10035.0,12158.0,-0.1746
402.0,AL,AK,GST,Gustavus,Gustavus,CS,None,9996.0,8822.0,0.1331
403.0,AL,AK,KSM,St Mary's,St Mary's,CS,None,9891.0,7213.0,0.3713
407.0,AL,AK,HNS,Haines,Haines,CS,None,9534.0,7099.0,0.343
411.0,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,9261.0,8968.0,0.0327
418.0,AL,AK,SGY,Skagway,Skagway,CS,None,8531.0,6468.0,0.319
423.0,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,7986.0,7738.0,0.032
429.0,AL,AK,LHD,Anchorage,Lake Hood,GA,None,7575.0,15018.0,-0.4956
434.0,AL,AK,ILI,Iliamna,Iliamna,CS,None,6889.0,7240.0,-0.0485
436.0,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,6770.0,6387.0,0.06
443.0,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,5949.0,5521.0,0.0775
444.0,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,5919.0,5133.0,0.1531
448.0,AL,AK,SOV,Seldovia,Seldovia,CS,None,5707.0,6270.0,-0.0898
449.0,AL,AK,VAK,Chevak,Chevak,CS,None,5588.0,5507.0,0.0147
455.0,AL,AK,MCG,McGrath,McGrath,CS,None,5242.0,4893.0,0.0713
458.0,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,4927.0,4373.0,0.1267
461.0,AL,AK,WLK,Selawik,Selawik,CS,None,4828.0,4679.0,0.0318
463.0,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,4726.0,4410.0,0.0717
464.0,AL,AK,PHO,Point Hope,Point Hope,CS,None,4713.0,4644.0,0.0149
465.0,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,4661.0,4985.0,-0.065
466.0,AL,AK,WTK,Noatak,Noatak,CS,None,4529.0,4383.0,0.0333
474.0,AL,AK,CGA,Craig,Craig,CS,None,4368.0,4470.0,-0.0228
475.0,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,4359.0,4143.0,0.0521
476.0,AL,AK,T44,Kodiak,Trident Basin,GA,None,4330.0,6634.0,-0.3473
