Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub Size,CY 11 Enplanements,CY 10 Enplanements,% Change
59,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2354987,2342310,0.0054
121,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,438188,435392,0.0064
141,AL,AK,JNU,Juneau,Juneau International,P,N,355499,344057,0.0333
196,AL,AK,BET,Bethel,Bethel,P,N,152366,144353,0.0555
223,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,102086,100138,0.0195
229,AL,AK,ENA,Kenai,Kenai Municipal,P,N,90806,86857,0.0455
236,AL,AK,ADQ,Kodiak,Kodiak,P,N,81149,80303,0.0105
249,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,65193,64536,0.0102
252,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,62738,62177,0.009
258,AL,AK,OME,Nome,Nome,P,N,58892,56658,0.0394
280,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,43858,43737,0.0028
285,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,41083,40141,0.0235
287,AL,AK,AKN,King Salmon,King Salmon,P,N,40345,41514,-0.0282
294,AL,AK,SCC,Deadhorse,Deadhorse,P,N,37711,37319,0.0105
303,AL,AK,HOM,Homer,Homer,P,N,35863,38407,-0.0662
310,AL,AK,DLG,Dillingham,Dillingham,P,N,30406,42927,-0.2917
311,AL,AK,DUT,Unalaska,Unalaska,P,N,30048,26711,0.1249
330,AL,AK,LHD,Anchorage,Lake Hood,P,N,23497,19789,0.1874
332,AL,AK,MRI,Anchorage,Merrill Field,P,N,23344,14972,0.5592
350,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,18318,18468,-0.0081
353,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,17731,17856,-0.007
363,AL,AK,ANI,Aniak,Aniak,P,N,16217,16394,-0.0108
364,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,16147,15739,0.0259
380,AL,AK,KSM,St Mary's,St Mary's,P,N,12415,9891,0.2552
381,AL,AK,UNK,Unalakleet,Unalakleet,P,N,12332,12693,-0.0284
386,AL,AK,MBA,Manokotak,Manokotak,P,N,11828,12409,-0.0468
388,AL,AK,WRG,Wrangell,Wrangell,P,N,11674,10882,0.0728
390,AL,AK,GST,Gustavus,Gustavus,P,N,11537,9996,0.1542
398,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,11017,10189,0.0813
405,AL,AK,GAL,Galena,Edward G. Pitka Sr,P,N,10862,12421,-0.1255
406,AL,AK,HNH,Hoonah,Hoonah,P,N,10815,10759,0.0052
410,AL,AK,YAK,Yakutat,Yakutat,P,N,10517,10035,0.048
411,AL,AK,EIL,Fairbanks,Eielson AFB,GA,None,10249,1735,4.9072
