rank,airport_code,airport_name,city,state,enplanements
1,CGX,MERRILL C MEIGS,CHICAGO,IL,"9,583"
2,ILI,ILIAMNA,ILIAMNA,AK,"9,196"
3,MRI,MERRILL FIELD,ANCHORAGE,AK,"9,173"
4,PLB,CLINTON CO,PLATTSBURGH,NY,"9,126"
5,CEZ,CORTEZ MUNI,CORTEZ,CO,"9,110"
6,GAL,EDWARD G. PITKA SR,GALENA,AK,"9,089"
7,LBF,NORTH PLATTE RGNL AIRPORT L,NORTH PLATTE,NE,"9,017"
8,PSE,MERCEDITA,PONCE,PR,"8,998"
9,IMT,FORD,IRON MOUNTAIN KINGSF,MI,"8,874"
10,HII,LAKE HAVASU CITY,LAKE HAVASU CITY,AZ,"8,569"
11,CDB,COLD BAY,COLD BAY,AK,"8,536"
12,UNK,UNALAKLEET,UNALAKLEET,AK,"8,413"
13,MSL,NORTHWEST ALABAMA RGNL,MUSCLE SHOALS,AL,"8,340"
14,HYS,HAYS RGNL,HAYS,KS,"8,334"
15,ORS,ORCAS ISLAND,EASTSOUND,WA,"8,141"
16,FOE,FORBES FIELD,TOPEKA,KS,"7,868"
17,FHU,SIERRA VISTA MUNI-LIBBY AAF,FORT HUACHUCA SIERRA,AZ,"7,559"
18,TBN,WAYNESVILLE RGNL ARPT AT FO,FORT LEONARD WOOD,MO,"7,471"
19,CNM,CAVERN CITY AIR TRML,CARLSBAD,NM,"7,355"
20,CGI,CAPE GIRARDEAU REGIONAL,CAPE GIRARDEAU,MO,"7,349"
21,AUG,AUGUSTA STATE,AUGUSTA,ME,"7,148"
22,KSM,ST MARY'S,ST MARY'S,AK,"7,126"
23,TVF,THIEF RIVER FALLS REGIONAL,THIEF RIVER FALLS,MN,"7,116"
24,ATY,WATERTOWN MUNI,WATERTOWN,SD,"7,070"
25,POU,DUTCHESS COUNTY,POUGHKEEPSIE,NY,"7,058"
26,HNM,HANA,HANA,HI,"6,911"
27,SIG,FERNANDO LUIS RIBAS DOMINIC,SAN JUAN,PR,"6,557"
28,MKL,MC KELLAR-SIPES REGIONAL,JACKSON,TN,"6,542"
29,CGA,CRAIG,CRAIG,AK,"6,402"
30,PRC,ERNEST A. LOVE FIELD,PRESCOTT,AZ,"6,337"
31,ENM,EMMONAK,EMMONAK,AK,"5,981"
32,VEL,VERNAL,VERNAL,UT,"5,944"
33,JBR,JONESBORO MUNI,JONESBORO,AR,"5,569"
34,LBL,LIBERAL MUNI,LIBERAL,KS,"5,522"
35,MCG,MC GRATH,MC GRATH,AK,"5,487"
36,FKL,VENANGO REGIONAL,FRANKLIN,PA,"5,454"
37,MOU,MOUNTAIN VILLAGE,MOUNTAIN VILLAGE,AK,"5,448"
38,X44,MIAMI,MIAMI,FL,"5,386"
39,ORV,ROBERT /BOB/ CURTIS MEML,NOORVIK,AK,"5,314"
40,DDC,DODGE CITY REGIONAL,DODGE CITY,KS,"5,281"
41,PUB,PUEBLO MEMORIAL,PUEBLO,CO,"5,213"
42,ISN,SLOULIN FLD INTL,WILLISTON,ND,"5,206"
43,MCE,MERCED MUNICIPAL/MACREADY F,MERCED,CA,"5,157"
44,HPB,HOOPER BAY,HOOPER BAY,AK,"5,109"
45,WLK,SELAWIK,SELAWIK,AK,"5,073"
46,ALS,SAN LUIS VALLEY REGIONAL/BE,ALAMOSA,CO,"4,888"
47,CBE,GREATER CUMBERLAND REGIONAL,CUMBERLAND,MD,"4,815"
48,UCA,ONEIDA COUNTY,UTICA,NY,"4,774"
49,RWI,ROCKY MOUNT-WILSON RGNL,ROCKY MOUNT,NC,"4,605"
50,IIK,KIPNUK,KIPNUK,AK,"4,555"
51,PHO,POINT HOPE,POINT HOPE,AK,"4,533"
52,SPW,SPENCER MUNI,SPENCER,IA,"4,485"
53,SDP,SAND POINT,SAND POINT,AK,"4,390"
54,SLK,ADIRONDACK REGIONAL,SARANAC LAKE,NY,"4,342"
55,BKW,RALEIGH COUNTY MEMORIAL,BECKLEY,WV,"4,282"
56,BPK,BAXTER COUNTY REGIONAL,MOUNTAIN HOME,AR,"4,267"
57,WDG,ENID WOODRING MUNI,ENID,OK,"4,230"
58,AQT,NUIQSUT,NUIQSUT,AK,"4,185"
59,TAL,RALPH M CALHOUN MEML,TANANA,AK,"4,167"
60,DIK,DICKINSON MUNI,DICKINSON,ND,"4,151"
61,KLG,KALSKAG,KALSKAG,AK,"4,146"
62,VAK,CHEVAK,CHEVAK,AK,"4,141"
63,TOG,TOGIAK,TOGIAK VILLAGE,AK,"4,125"
64,WTK,NOATAK,NOATAK,AK,"4,120"
65,W33,FRIDAY HARBOR,FRIDAY HARBOR,WA,"4,088"
66,SOW,SHOW LOW MUNI,SHOW LOW,AZ,"4,059"
67,AUK,ALAKANUK,ALAKANUK,AK,"4,054"
68,RUT,RUTLAND STATE,RUTLAND,VT,"4,010"
69,Z08,OFU,OFU VILLAGE,AQ,"3,998"
70,PNC,PONCA CITY MUNI,PONCA CITY,OK,"3,949"
71,WYS,YELLOWSTONE,WEST YELLOWSTONE,MT,"3,942"
72,0AK,PILOT STATION,PILOT STATION,AK,"3,903"
73,SVA,SAVOONGA,SAVOONGA,AK,"3,812"
74,KAE,KAKE,KAKE,AK,"3,754"
75,IAN,BOB BAKER MEML,KIANA,AK,"3,735"
76,MSS,MASSENA INTL-RICHARDS FIELD MASSENA, ,NY,"3,715"
77,LRU,LAS CRUCES INTERNATIONAL,LAS CRUCES,NM,"3,693"
78,OSH,WITTMAN REGIONAL,OSHKOSH,WI,"3,672"
79,SHH,SHISHMAREF/NEW,SHISHMAREF,AK,"3,667"
80,OOK,TOKSOOK BAY,TOKSOOK BAY,AK,"3,516"
81,2A9,KOTLIK/NEW,KOTLIK,AK,"3,511"
82,GAM,GAMBELL,GAMBELL,AK,"3,486"
83,A61,TUNTUTULIAK,TUNTUTULIAK,AK,"3,461"
84,IGM,KINGMAN,KINGMAN,AZ,"3,420"
85,HYL,HOLLIS,HOLLIS,AK,"3,412"
86,GUP,GALLUP MUNICIPAL,GALLUP,NM,"3,362"
87,KVL,KIVALINA,KIVALINA,AK,"3,320"
88,SNP,ST PAUL ISLAND,ST PAUL ISLAND,AK,"3,317"
89,ILG,NEW CASTLE COUNTY,WILMINGTON,DE,"3,316"
90,2A3,LARSEN BAY,LARSEN BAY,AK,"3,309"
91,NUL,NULATO,NULATO,AK,"3,226"
92,KNW,NEW STUYAHOK,NEW STUYAHOK,AK,"3,222"
93,A85,KWIGILLINGOK,KWIGILLINGOK,AK,"3,209"
94,AWI,WAINWRIGHT,WAINWRIGHT,AK,"3,166"
95,BVK,BUCKLAND,BUCKLAND,AK,"3,163"
96,SVC,GRANT COUNTY,SILVER CITY,NM,"3,162"
97,BCE,BRYCE CANYON,BRYCE CANYON,UT,"3,149"
98,WRL,WORLAND MUNI,WORLAND,WY,"3,141"
99,AKP,ANAKTUVUK PASS,ANAKTUVUK PASS,AK,"3,079"
100,TLT,TULUKSAK,TULUKSAK,AK,"3,072"
101,DUY,KONGIGANAK,KONGIGANAK,AK,"3,041"
102,CFK,CHEFORNAK,CHEFORNAK,AK,"3,022"
103,SCM,SCAMMON BAY,SCAMMON BAY,AK,"3,022"
