rank,airport_code,airport_name,city,state,enplanements
1,ATL,THE WILLIAM B HARTSFIELD AT,ATLANTA,GA,"39,277,901"
2,ORD,CHICAGO O'HARE INTL,CHICAGO,IL,"33,845,895"
3,LAX,LOS ANGELES INTL,LOS ANGELES,CA,"32,167,896"
4,DFW,DALLAS/FORT WORTH INTERNATI,DALLAS-FORT WORTH,TX,"28,274,512"
5,SFO,SAN FRANCISCO INTERNATIONAL,SAN FRANCISCO,CA,"19,556,795"
6,DEN,DENVER INTL,DENVER,CO,"18,382,940"
7,PHX,PHOENIX SKY HARBOR INTL,PHOENIX,AZ,"18,094,251"
8,LAS,MC CARRAN INTL,LAS VEGAS,NV,"17,425,214"
9,DTW,DETROIT METROPOLITAN WAYNE,DETROIT,MI,"17,326,775"
10,EWR,NEWARK INTL,NEWARK,NJ,"17,212,226"
11,MSP,MINNEAPOLIS-ST PAUL INTL/WO,MINNEAPOLIS,MN,"16,959,014"
12,MIA,MIAMI INTL,MIAMI,FL,"16,489,341"
13,IAH,GEORGE BUSH INTERCONTINENTA,HOUSTON,TX,"16,358,035"
14,JFK,JOHN F KENNEDY INTL,NEW YORK,NY,"16,155,437"
15,STL,LAMBERT-ST LOUIS INTL,ST LOUIS,MO,"15,288,493"
16,MCO,ORLANDO INTL,ORLANDO,FL,"14,831,648"
17,SEA,SEATTLE-TACOMA INTL,SEATTLE,WA,"13,875,942"
18,BOS,GENERAL EDWARD LAWRENCE LOG,BOSTON,MA,"13,613,507"
19,LGA,LA GUARDIA,NEW YORK,NY,"12,697,208"
20,PHL,PHILADELPHIA INTL,PHILADELPHIA,PA,"12,294,051"
21,CLT,CHARLOTTE/DOUGLAS INTL,CHARLOTTE,NC,"11,469,282"
22,CVG,CINCINNATI/NORTHERN KENTUCK,COVINGTON/CINCINNATI,KY,"11,223,966"
23,HNL,HONOLULU INTL,HONOLULU,HI,"11,174,701"
24,PIT,PITTSBURGH INTERNATIONAL,PITTSBURGH,PA,"9,871,995"
25,BWI,BALTIMORE-WASHINGTON INTL,BALTIMORE,MD,"9,675,681"
26,IAD,WASHINGTON DULLES INTERNATI,CHANTILLY,VA,"9,643,275"
27,SLC,SALT LAKE CITY INTL,SALT LAKE CITY,UT,"9,522,344"
28,TPA,TAMPA INTL,TAMPA,FL,"7,969,797"
29,SAN,SAN DIEGO INTL-LINDBERGH FL,SAN DIEGO,CA,"7,898,360"
30,FLL,FORT LAUDERDALE/HOLLYWOOD I,FORT LAUDERDALE,FL,"7,817,173"
31,DCA,RONALD REAGAN WASHINGTON NA,ARLINGTON,VA,"7,517,811"
32,MDW,CHICAGO MIDWAY,CHICAGO,IL,"7,059,520"
33,PDX,PORTLAND INTL,PORTLAND,OR,"6,754,514"
34,CLE,CLEVELAND-HOPKINS INTL,CLEVELAND,OH,"6,269,516"
35,SJC,SAN JOSE INTERNATIONAL,SAN JOSE,CA,"6,170,384"
36,MCI,KANSAS CITY INTL,KANSAS CITY,MO,"5,903,296"
37,MEM,MEMPHIS INTL,MEMPHIS,TN,"5,684,619"
38,OAK,METROPOLITAN OAKLAND INTL,OAKLAND,CA,"5,196,451"
39,RDU,RALEIGH-DURHAM INTL,RALEIGH/DURHAM,NC,"5,191,077"
40,SJU,LUIS MUNOZ MARIN INTL,SAN JUAN,PR,"5,135,591"
41,MSY,NEW ORLEANS INTL/MOISANT FL,NEW ORLEANS,LA,"4,936,271"
42,BNA,NASHVILLE INTL,NASHVILLE,TN,"4,479,909"
43,HOU,WILLIAM P HOBBY,HOUSTON,TX,"4,354,609"
44,SMF,SACRAMENTO INTERNATIONAL,SACRAMENTO,CA,"3,979,043"
45,SNA,JOHN WAYNE AIRPORT-ORANGE C,SANTA ANA,CA,"3,914,051"
46,IND,INDIANAPOLIS INTL,INDIANAPOLIS,IN,"3,833,975"
47,BDL,BRADLEY INTL,WINDSOR LOCKS,CT,"3,651,943"
48,AUS,AUSTIN-BERGSTROM INTL,AUSTIN,TX,"3,648,600"
49,DAL,DALLAS LOVE FIELD,DALLAS,TX,"3,596,052"
50,SAT,SAN ANTONIO INTL,SAN ANTONIO,TX,"3,528,955"
51,CMH,PORT COLUMBUS INTL,COLUMBUS,OH,"3,441,286"
52,ONT,ONTARIO INTL,ONTARIO,CA,"3,197,795"
53,ABQ,ALBUQUERQUE INTL SUNPORT,ALBUQUERQUE,NM,"3,148,780"
54,MKE,GENERAL MITCHELL INTERNATIO,MILWAUKEE,WI,"3,089,592"
55,OGG,KAHULUI,KAHULUI,HI,"2,999,863"
56,PBI,PALM BEACH INTL,WEST PALM BEACH,FL,"2,928,658"
57,RNO,RENO/TAHOE INTERNATIONAL,RENO,NV,"2,732,837"
58,PVD,THEODORE FRANCIS GREEN STAT,PROVIDENCE,RI,"2,684,204"
59,JAX,JACKSONVILLE INTL,JACKSONVILLE,FL,"2,616,211"
60,RSW,SOUTHWEST FLORIDA INTL,FORT MYERS,FL,"2,574,322"
61,ANC,TED STEVENS ANCHORAGE INTL,ANCHORAGE,AK,"2,503,138"
62,BUR,BURBANK-GLENDALE-PASADENA,BURBANK,CA,"2,380,531"
63,BUF,BUFFALO NIAGARA INTL,BUFFALO,NY,"2,140,002"
64,SDF,LOUISVILLE INTL-STANDIFORD,LOUISVILLE,KY,"1,974,269"
65,OMA,EPPLEY AIRFIELD,OMAHA,NE,"1,861,057"
66,TUS,TUCSON INTL,TUCSON,AZ,"1,804,086"
67,OKC,WILL ROGERS WORLD,OKLAHOMA CITY,OK,"1,739,169"
68,TUL,TULSA INTL,TULSA,OK,"1,737,672"
69,ELP,EL PASO INTL,EL PASO,TX,"1,678,287"
70,GUM,GUAM INTERNATIONAL,AGANA,GU,"1,665,676"
71,MHT,MANCHESTER,MANCHESTER,NH,"1,568,860"
72,BHM,BIRMINGHAM INTL,BIRMINGHAM,AL,"1,538,007"
73,GEG,SPOKANE INTL,SPOKANE,WA,"1,534,342"
74,BOI,BOISE AIR TERMINAL/GOWEN FL,BOISE,ID,"1,524,458"
75,ORF,NORFOLK INTL,NORFOLK,VA,"1,518,552"
76,LIH,LIHUE,LIHUE,HI,"1,413,454"
