RO,ST,City,Airport Name,Locid,Service                     Level   ,Hub            Type,Large   Certified,Small &    Commuter,Air Taxi,FFC &              In-Transit,Total,Airport        % of                       US Total,
AL,AK,Anchorage,Ted Stevens Anchorage International,ANC,P,M,1709365.0,288492.0,155.0,421249.0,2419261.0,0.0037, 
AL,AK,Juneau,Juneau International,JNU,P,S,258224.0,69188.0,73602.0,1103.0,402117.0,0.0006, 
AL,AK,Fairbanks,Fairbanks International,FAI,P,S,326687.0,57053.0,260.0,828.0,384828.0,0.0006, 
AL,AK,Bethel,Bethel,BET,P,N,44257.0,87958.0,450.0,0.0,132665.0,0.0002, 
AL,AK,Kenai,Kenai Municipal,ENA,P,N,86.0,101269.0,5318.0,0.0,106673.0,0.0002, 
AL,AK,Ketchikan,Ketchikan International,KTN,P,N,95248.0,7141.0,245.0,0.0,102634.0,0.0002, 
AL,AK,Sitka,Sitka Rocky Gutierrez,SIT,P,N,69843.0,393.0,2676.0,0.0,72912.0,0.0001, 
AL,AK,Kodiak,Kodiak,ADQ,P,N,28438.0,33218.0,1112.0,0.0,62768.0,0.0001, 
AL,AK,Kotzebue,Ralph Wien Memorial,OTZ,P,N,25889.0,31894.0,58.0,0.0,57841.0,0.0001, 
AL,AK,Nome,Nome,OME,P,N,27808.0,28114.0,0.0,0.0,55922.0,0.0001, 
AL,AK,King Salmon,King Salmon,AKN,P,N,8908.0,33215.0,2212.0,0.0,44335.0,0.0001, 
AL,AK,Barrow,Wiley Post-Will Rogers Mem,BRW,P,N,27065.0,11003.0,0.0,0.0,38068.0,0.0001, 
AL,AK,Dillingham,Dillingham,DLG,P,N,7924.0,29527.0,94.0,0.0,37545.0,0.0001, 
AL,AK,Homer,Homer,HOM,P,N,0.0,30026.0,2910.0,0.0,32936.0,0.0, 
AL,AK,Unalaska,Unalaska,DUT,P,N,19250.0,12158.0,1.0,0.0,31409.0,0.0, 
AL,AK,Deadhorse,Deadhorse,SCC,P,N,15171.0,7600.0,0.0,46.0,22817.0,0.0, 
AL,AK,Valdez,Valdez Pioneer Field,VDZ,P,N,0.0,20384.0,0.0,0.0,20384.0,0.0, 
AL,AK,Anchorage,Lake Hood,LHD,P,N,0.0,1037.0,19326.0,0.0,20363.0,0.0, 
AL,AK,Cordova,Merle K (Mudhole) Smith,CDV,P,N,11197.0,8064.0,0.0,0.0,19261.0,0.0, 
AL,AK,Petersburg,Petersburg James A Johnson,PSG,P,N,17066.0,751.0,475.0,0.0,18292.0,0.0, 
AL,AK,Kodiak,Kodiak Municipal,KDK,P,N,0.0,13255.0,5030.0,0.0,18285.0,0.0, 
AL,AK,Aniak,Aniak,ANI,P,N,0.0,16933.0,30.0,0.0,16963.0,0.0, 
AL,AK,Yakutat,Yakutat,YAK,P,N,11445.0,3316.0,4.0,0.0,14765.0,0.0, 
AL,AK,Gustavus,Gustavus,GST,P,N,5251.0,4702.0,4699.0,0.0,14652.0,0.0, 
AL,AK,Manokotak,Manokotak,17Z,P,N,0.0,1088.0,11500.0,0.0,12588.0,0.0, 
AL,AK,Iliamna,Iliamna,ILI,P,N,0.0,10557.0,1466.0,0.0,12023.0,0.0, 
