Rank,RO,Locid,Airport Name,City,State,Svc Lvl,Hub,CY 2002 Boardings ,CY 2001 Boardings,% Change,CY
1.0,SO,ATL,"The William B Hartsfield 
Atlanta International",Atlanta,GA,P,L,37720556.0,37181068.0,0.0145,2002.0
2.0,GL,ORD,Chicago O'Hare International,Chicago,IL,P,L,31706328.0,31529561.0,0.0056,2002.0
3.0,WP,LAX,Los Angeles International,Los Angeles,CA,P,L,26911570.0,29365436.0,-0.0836,2002.0
4.0,SW,DFW,Dallas / Fort Worth International,Fort Worth,TX,P,L,24761105.0,25610562.0,-0.0332,2002.0
5.0,WP,PHX,Phoenix Sky Harbor International,Phoenix,AZ,P,L,17271519.0,17478622.0,-0.0118,2002.0
6.0,NM,DEN,Denver International,Denver,CO,P,L,16943564.0,17178872.0,-0.0137,2002.0
7.0,WP,LAS,McCarran International,Las Vegas,NV,P,L,16600807.0,16633435.0,-0.002,2002.0
8.0,SW,IAH,George Bush Intercontinental,Houston,TX,P,L,15865479.0,16173551.0,-0.019,2002.0
9.0,GL,MSP,"Minneapolis - St Paul International / 
Wold - Chamberlain / ",Minneapolis,MN,P,L,15544039.0,15852433.0,-0.0195,2002.0
10.0,GL,DTW,Detroit Metropolitan Wayne County,Detroit,MI,P,L,15525413.0,15819584.0,-0.0186,2002.0
11.0,WP,SFO,San Francisco International,San Francisco,CA,P,L,14736137.0,16475611.0,-0.1056,2002.0
12.0,EA,EWR,Newark Liberty International,Newark,NJ,P,L,14553843.0,15497560.0,-0.0609,2002.0
13.0,EA,JFK,John F Kennedy International,New York,NY,P,L,14552411.0,14553815.0,-0.0001,2002.0
14.0,SO,MIA,Miami International,Miami,FL,P,L,14020686.0,14941663.0,-0.0616,2002.0
15.0,NM,SEA,Seattle - Tacoma International,Seattle,WA,P,L,12969024.0,13184630.0,-0.0164,2002.0
16.0,SO,MCO,Orlando International,Orlando,FL,P,L,12921480.0,13622397.0,-0.0515,2002.0
17.0,CE,STL,Lambert - St Louis International,St. Louis,MO,P,L,12474566.0,13264751.0,-0.0596,2002.0
18.0,EA,PHL,Philadelphia International,Philadelphia,PA,P,L,11954469.0,11736129.0,0.0186,2002.0
