ST,RO,Locid,Airport Name,City,Svc Lvl,Hub,CY 2003 Enplanements
AK,AL,ANC,Ted Stevens Anchorage Int'l,Anchorage,P,M,2246683.0
AK,AL,FAI,Fairbanks Int'l,Fairbanks,P,S,388841.0
AK,AL,JNU,Juneau Int'l,Juneau,P,S,366200.0
AK,AL,BET,Bethel,Bethel,P,N,137782.0
AK,AL,KTN,Ketchikan Int'l,Ketchikan,P,N,103313.0
AK,AL,ENA,Kenai Municipal,Kenai,P,N,84426.0
AK,AL,SIT,Sitka Rocky Gutierrez,Sitka,P,N,69109.0
AK,AL,ADQ,Kodiak,Kodiak,P,N,63284.0
AK,AL,OME,Nome,Nome,P,N,57981.0
AK,AL,OTZ,Ralph Wien Memorial,Kotzebue,P,N,56458.0
AK,AL,DLG,Dillingham,Dillingham,P,N,48168.0
AK,AL,5KE,Ketchikan Harbor,Ketchikan,GA,None,42193.0
AK,AL,HOM,Homer,Homer,P,N,37990.0
AK,AL,AKN,King Salmon,King Salmon,P,N,37102.0
AK,AL,BRW,Wiley Post-Will Rogers Memorial,Barrow,P,N,35767.0
AK,AL,DUT,Unalaska,Unalaska,P,N,28843.0
AK,AL,LHD,Lake Hood,Anchorage,P,N,23831.0
AK,AL,CDV,Merle K (Mudhole) Smith,Cordova,P,N,18275.0
AK,AL,ANI,Aniak,Aniak,P,N,18065.0
AK,AL,PSG,Petersburg James A Johnson,Petersburg,P,N,17501.0
AK,AL,VDZ,Valdez Pioneer Field,Valdez,P,N,16599.0
AK,AL,SCC,Deadhorse,Deadhorse,P,N,14033.0
AK,AL,17Z,Manokotak,Manokotak,P,N,12086.0
AK,AL,YAK,Yakutat,Yakutat,P,N,11330.0
AK,AL,MRI,Merrill Field,Anchorage,P,N,11211.0
AK,AL,GAL,Edward G. Pitka Sr,Galena,P,N,11133.0
AK,AL,SOV,Seldovia,Seldovia,P,N,10405.0
AK,AL,UNK,Unalakleet,Unalakleet,P,N,10084.0
AK,AL,AED,Red Dog,Red Dog Mine,GA,None,9438.0
AK,AL,SGY,Skagway,Skagway,CS,None,9396.0
AK,AL,KSM,St Mary's,St Mary's,CS,None,9281.0
AK,AL,WRG,Wrangell,Wrangell,CS,None,9252.0
AK,AL,KDK,Kodiak Municipal,Kodiak,CS,None,9103.0
AK,AL,CDB,Cold Bay,Cold Bay,CS,None,9035.0
AK,AL,FYU,Fort Yukon,Fort Yukon,CS,None,8876.0
AK,AL,HNH,Hoonah,Hoonah,CS,None,8715.0
AK,AL,HNS,Haines,Haines,CS,None,7712.0
AK,AL,ILI,Iliamna,Iliamna,CS,None,7668.0
AK,AL,MTM,Metlakatla,Metlakatla,CS,None,7520.0
AK,AL,GST,Gustavus,Gustavus,CS,None,7105.0
AK,AL,ENM,Emmonak,Emmonak,CS,None,5958.0
AK,AL,WLK,Selawik,Selawik,CS,None,5858.0
AK,AL,HPB,Hooper Bay,Hooper Bay,CS,None,5697.0
AK,AL,IIK,Kipnuk,Kipnuk,CS,None,5611.0
AK,AL,MOU,Mountain Village,Mountain Village,CS,None,5573.0
AK,AL,D76,Robert /Bob/ Curtis Memorial,Noorvik,CS,None,5047.0
AK,AL,VAK,Chevak,Chevak,CS,None,4993.0
AK,AL,EDF,Elmendorf AFB,Anchorage,GA,None,4784.0
AK,AL,AQH,Quinhagak,Quinhagak,CS,None,4772.0
AK,AL,MCG,McGrath,McGrath,CS,None,4582.0
AK,AL,KLG,Kalskag,Kalskag,CS,None,4568.0
AK,AL,OOK,Toksook Bay,Toksook Bay,CS,None,4550.0
AK,AL,WTK,Noatak,Noatak,CS,None,4459.0
AK,AL,0AK,Pilot Station,Pilot Station,CS,None,4284.0
AK,AL,SHH,Shishmaref,Shishmaref,CS,None,4250.0
AK,AL,PHO,Point Hope,Point Hope,CS,None,4230.0
AK,AL,2A9,Kotlik,Kotlik,CS,None,4041.0
AK,AL,BVK,Buckland,Buckland,CS,None,4030.0
AK,AL,SDP,Sand Point,Sand Point,CS,None,3978.0
AK,AL,A61,Tuntutuliak,Tuntutuliak,CS,None,3926.0
AK,AL,SVA,Savoonga,Savoonga,CS,None,3907.0
AK,AL,IAN,Bob Baker Memorial,Kiana,CS,None,3844.0
AK,AL,AUK,Alakanuk,Alakanuk,CS,None,3791.0
AK,AL,GAM,Gambell,Gambell,CS,None,3743.0
AK,AL,KVL,Kivalina,Kivalina,CS,None,3736.0
AK,AL,AQT,Nuiqsut,Nuiqsut,CS,None,3701.0
AK,AL,AWI,Wainwright,Wainwright,CS,None,3700.0
AK,AL,SCM,Scammon Bay,Scammon Bay,CS,None,3696.0
AK,AL,NUL,Nulato,Nulato,CS,None,3658.0
AK,AL,TYE,Tyonek,Tyonek,GA,None,3591.0
AK,AL,PGM,Port Graham,Port Graham,CS,None,3566.0
AK,AL,TAL,Ralph M Calhoun Memorial,Tanana,CS,None,3507.0
AK,AL,CGA,Craig,Craig,CS,None,3441.0
AK,AL,HLA,Huslia,Huslia,CS,None,3430.0
AK,AL,BTI,Barter Island LRRS,Kaktovik,CS,None,3391.0
AK,AL,KEB,English Bay,English Bay,CS,None,3369.0
AK,AL,ELI,Elim,Elim,CS,None,3127.0
AK,AL,A29,Sitka,Sitka,GA,None,3100.0
AK,AL,3A5,Marshall Don Hunter Sr,Marshall,CS,None,3090.0
AK,AL,DUY,Kongiganak,Kongiganak,CS,None,3028.0
AK,AL,RSH,Russian Mission,Russian Mission,CS,None,2999.0
AK,AL,WBB,Stebbins,Stebbins,CS,None,2994.0
AK,AL,KVC,King Cove,King Cove,CS,None,2953.0
AK,AL,KAE,Kake,Kake,CS,None,2902.0
AK,AL,CFK,Chefornak,Chefornak,CS,None,2850.0
AK,AL,Z09,Kasigluk,Kasigluk,CS,None,2845.0
AK,AL,A85,Kwigillingok,Kwigillingok,CS,None,2841.0
AK,AL,TLT,Tuluksak,Tuluksak,CS,None,2760.0
AK,AL,5Z5,Kantishna,Kantishna,GA,None,2742.0
AK,AL,AQY,Girdwood,Girdwood,GA,None,2740.0
AK,AL,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,2738.0
AK,AL,AFM,Ambler,Ambler,CS,None,2680.0
AK,AL,BLG,Beluga,Beluga,GA,None,2662.0
AK,AL,SNP,St Paul Island,Saint Paul Island,CS,None,2617.0
AK,AL,KKA,Koyuk,Koyuk,CS,None,2610.0
AK,AL,EEK,Eek,Eek,CS,None,2579.0
AK,AL,T44,Trident Basin,Kodiak,GA,None,2553.0
AK,AL,EWU,Newtok,Newtok,CS,None,2552.0
AK,AL,KAL,Kaltag,Kaltag,CS,None,2535.0
AK,AL,ATK,Atqasuk Edward Burnell Sr Memorial,Atqasuk,CS,None,2521.0
AK,AL,16A,Nunapitchuk,Nunapitchuk,GA,None,2380.0
AK,AL,AGN,Angoon,Angoon,GA,None,2379.0
AK,AL,KWT,Kwethluk,Kwethluk,GA,None,2342.0
AK,AL,5S8,St Michael,St Michael,GA,None,2308.0
AK,AL,2A3,Larsen Bay,Larsen Bay,GA,None,2294.0
AK,AL,TOG,Togiak,Togiak Village,GA,None,2282.0
AK,AL,SXQ,Soldotna,Soldotna,GA,None,2249.0
AK,AL,SHG,Shungnak,Shungnak,GA,None,2247.0
AK,AL,2C7,Shaktoolik,Shaktoolik,GA,None,2243.0
AK,AL,6R7,Old Harbor,Old Harbor,GA,None,2184.0
AK,AL,N93,Golovin,Golovin,GA,None,2176.0
AK,AL,MYU,Mekoryuk,Mekoryuk,GA,None,2132.0
AK,AL,KQA,Akutan,Akutan,GA,None,2130.0
AK,AL,KTB,Thorne Bay,Thorne Bay,GA,None,2118.0
AK,AL,RBY,Ruby,Ruby,GA,None,2116.0
AK,AL,VEE,Venetie,Venetie,GA,None,2054.0
AK,AL,WMO,White Mountain,White Mountain,GA,None,2027.0
AK,AL,HCA,Holy Cross,Holy Cross,GA,None,2005.0
AK,AL,KWF,Waterfall,Waterfall,GA,None,2005.0
AK,AL,Z13,Akiachak,Akiachak,GA,None,1980.0
AK,AL,KTS,Brevig Mission,Brevig Mission,GA,None,1960.0
AK,AL,6A8,Allakaket,Allakaket,GA,None,1873.0
AK,AL,HYL,Hollis,Hollis,GA,None,1873.0
AK,AL,AKI,Akiak,Akiak,GA,None,1834.0
AK,AL,4A2,Atmautluak,Atmautluak,GA,None,1829.0
AK,AL,ARC,Arctic Village,Arctic Village,GA,None,1797.0
AK,AL,ORI,Port Lions,Port Lions,GA,None,1662.0
AK,AL,CLP,Clarks Point,Clarks Point,GA,None,1578.0
AK,AL,4KA,Tununak,Tununak,GA,None,1565.0
AK,AL,EII,Egegik,Egegik,GA,None,1544.0
AK,AL,4K5,Ouzinkie,Ouzinkie,GA,None,1538.0
AK,AL,DEE,Deering,Deering,GA,None,1522.0
AK,AL,PIZ,Point Lay LRRS,Point Lay,GA,None,1498.0
AK,AL,SXP,Sheldon Point,Sheldon Point,GA,None,1486.0
AK,AL,BTT,Bettles,Bettles,GA,None,1478.0
AK,AL,IWK,Wales,Wales,GA,None,1419.0
AK,AL,WNA,Napakiak,Napakiak,GA,None,1378.0
AK,AL,FBK,Wainwright AAF,Fairbanks/Ft Wainwright,GA,None,1343.0
AK,AL,IGT,Nightmute,Nightmute,GA,None,1291.0
AK,AL,ADK,Adak,Adak Island,GA,None,1286.0
AK,AL,KCG,Chignik Fisheries,Chignik,GA,None,1284.0
AK,AL,OBU,Kobuk,Kobuk,GA,None,1282.0
AK,AL,SHX,Shageluk,Shageluk,GA,None,1234.0
