Rank,ST,Locid,City,Airport Name,Hub,CY 2004 Boardings,CY 2003 Boardings,% Change
1.0,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,L,41123857.0,38893670.0,0.0573
2.0,IL,ORD,Chicago,Chicago O'Hare International,L,36100147.0,32920387.0,0.0966
3.0,CA,LAX,Los Angeles,Los Angeles International,L,28925341.0,26239584.0,0.1024
4.0,TX,DFW,Fort Worth,Dallas/Fort Worth International,L,28063035.0,24976881.0,0.1236
5.0,CO,DEN,Denver,Denver International,L,20407002.0,17969754.0,0.1356
6.0,NV,LAS,Las Vegas,McCarran International,L,19943025.0,17097738.0,0.1664
7.0,AZ,PHX,Phoenix,Phoenix Sky Harbor International,L,19336099.0,18252853.0,0.0593
8.0,NY,JFK,New York,John F Kennedy International,L,18586863.0,15676352.0,0.1857
9.0,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain/,L,17482627.0,16022988.0,0.0911
10.0,TX,IAH,Houston,George Bush Intercontinental/Houston,L,17322065.0,16134684.0,0.0736
11.0,MI,DTW,Detroit,Detroit Metropolitan Wayne County,L,17046176.0,15754017.0,0.082
12.0,NJ,EWR,Newark,Newark Liberty International,L,15827675.0,14628708.0,0.082
13.0,CA,SFO,San Francisco,San Francisco International,L,15605822.0,14079173.0,0.1084
14.0,FL,MCO,Orlando,Orlando International,L,15270347.0,13375162.0,0.1417
15.0,FL,MIA,Miami,Miami International,L,14515591.0,14198321.0,0.0223
16.0,WA,SEA,Seattle,Seattle-Tacoma International,L,14092285.0,13109153.0,0.075
17.0,PA,PHL,Philadelphia,Philadelphia International,L,13824332.0,11870928.0,0.1646
18.0,MA,BOS,Boston,General Edward Lawrence Logan International,L,12758020.0,11087799.0,0.1506
19.0,NC,CLT,Charlotte,Charlotte/Douglas International,L,12499476.0,11465366.0,0.0902
20.0,NY,LGA,New York,La Guardia,L,12312561.0,11367309.0,0.0832
21.0,VA,IAD,Chantilly,Washington Dulles International,L,10961614.0,8050506.0,0.3616
22.0,KY,CVG,Covington,Cincinnati/Northern Kentucky International,L,10864547.0,10449930.0,0.0397
23.0,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshal,L,10103563.0,9768040.0,0.0343
24.0,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,L,10040598.0,8682781.0,0.1564
25.0,HI,HNL,Honolulu,Honolulu International,L,9579076.0,9044409.0,0.0591
26.0,IL,MDW,Chicago,Chicago Midway International,L,9238592.0,8687215.0,0.0635
27.0,UT,SLC,Salt Lake City,Salt Lake City International,L,8884880.0,8958003.0,-0.0082
28.0,FL,TPA,Tampa,Tampa International,L,8436025.0,7672533.0,0.0995
29.0,CA,SAN,San Diego,San Diego International,L,8135832.0,7565196.0,0.0754
30.0,VA,DCA,Arlington,Ronald Reagan Washington National,L,7661532.0,6813148.0,0.1245
31.0,CA,OAK,Oakland,Metropolitan Oakland International,M,6923690.0,6638343.0,0.043
32.0,PA,PIT,Pittsburgh,Pittsburgh International,M,6606117.0,7113460.0,-0.0713
33.0,OR,PDX,Portland,Portland International,M,6379884.0,6059860.0,0.0528
34.0,MO,STL,St. Louis,Lambert-St Louis International,M,6377628.0,9922456.0,-0.3573
35.0,OH,CLE,Cleveland,Cleveland-Hopkins International,M,5389196.0,5012446.0,0.0752
36.0,TN,MEM,Memphis,Memphis International,M,5295062.0,5411496.0,-0.0215
37.0,CA,SJC,San Jose,Norman Y. Mineta San Jose International,M,5269849.0,5104201.0,0.0325
38.0,PR,SJU,San Juan,Luis Munoz Marin International,M,5222456.0,4706846.0,0.1095
39.0,MO,MCI,Kansas City,Kansas City International,M,5040595.0,4860047.0,0.0371
40.0,LA,MSY,Metairie,Louis Armstrong New Orleans International,M,4839400.0,4647706.0,0.0412
41.0,CA,SMF,Sacramento,Sacramento International,M,4795970.0,4390847.0,0.0923
42.0,CA,SNA,Santa Ana,John Wayne Airport-Orange County,M,4621107.0,4266083.0,0.0832
43.0,NC,RDU,Raleigh,Raleigh-Durham International,M,4371883.0,3938925.0,0.1099
44.0,TN,BNA,Nashville,Nashville International,M,4298703.0,3943236.0,0.0901
45.0,IN,IND,Indianapolis,Indianapolis International,M,3992097.0,3673648.0,0.0867
46.0,TX,HOU,Houston,William P Hobby,M,3960890.0,3703767.0,0.0694
47.0,TX,AUS,Austin,Austin-Bergstrom International,M,3446564.0,3177889.0,0.0845
48.0,TX,SAT,San Antonio,San Antonio International,M,3376750.0,3120098.0,0.0823
49.0,CT,BDL,Windsor Locks,Bradley International,M,3326461.0,3098556.0,0.0736
50.0,FL,RSW,Fort Myers,Southwest Florida International,M,3320019.0,2906367.0,0.1423
51.0,WI,MKE,Milwaukee,General Mitchell International,M,3302604.0,3114864.0,0.0603
52.0,CA,ONT,Ontario,Ontario International,M,3291726.0,3089025.0,0.0656
53.0,FL,PBI,West Palm Beach,Palm Beach International,M,3281656.0,3011968.0,0.0895
54.0,NM,ABQ,Albuquerque,Albuquerque International Sunport,M,3079172.0,2945468.0,0.0454
55.0,OH,CMH,Columbus,Port Columbus International,M,3071447.0,3050585.0,0.0068
56.0,TX,DAL,Dallas,Dallas Love Field,M,2945909.0,2797303.0,0.0531
57.0,RI,PVD,Warwick,Theodore Francis Green State,M,2732524.0,2553584.0,0.0701
58.0,HI,OGG,Kahului,Kahului,M,2695000.0,2656254.0,0.0146
59.0,FL,JAX,Jacksonville,Jacksonville International,M,2619494.0,2415747.0,0.0843
60.0,NV,RNO,Reno,Reno/Tahoe International,M,2478179.0,2242299.0,0.1052
61.0,CA,BUR,Burbank,Bob Hope,M,2455574.0,2352465.0,0.0438
62.0,AK,ANC,Anchorage,Ted Stevens Anchorage International,M,2439969.0,2246683.0,0.086
