Rank,RO,ST,Locid,City,Airport Name,SL,Hub,CY 06 Boardings,CY 05 Boardings,% Change
1.0,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,41352038.0,42402653.0,-0.0248
2.0,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,36825097.0,36720005.0,0.0029
3.0,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,29357327.0,29372272.0,-0.0005
4.0,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,28627749.0,28079147.0,0.0195
5.0,NM,CO,DEN,Denver,Denver International,P,L,22822111.0,20799886.0,0.0972
6.0,WP,NV,LAS,Las Vegas,McCarran International,P,L,22028521.0,21402676.0,0.0292
7.0,EA,NY,JFK,New York,John F Kennedy International,P,L,21071501.0,20260359.0,0.04
8.0,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,20591909.0,20315544.0,0.0136
9.0,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,20479291.0,19032196.0,0.076
10.0,EA,NJ,EWR,Newark,Newark Liberty International,P,L,17804107.0,16444959.0,0.0826
11.0,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,17483468.0,17580363.0,-0.0055
12.0,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,17192410.0,17971771.0,-0.0434
13.0,SO,FL,MCO,Orlando,Orlando International,P,L,16807534.0,16592133.0,0.013
14.0,WP,CA,SFO,San Francisco,San Francisco International,P,L,16236592.0,16070133.0,0.0104
15.0,SO,FL,MIA,Miami,Miami International,P,L,15664791.0,15092763.0,0.0379
16.0,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15390848.0,15376569.0,0.0009
17.0,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,14749568.0,14009608.0,0.0528
18.0,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,14703928.0,14359530.0,0.024
19.0,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,13544552.0,13214923.0,0.0249
20.0,EA,NY,LGA,New York,La Guardia,P,L,12925697.0,13014314.0,-0.0068
21.0,EA,VA,IAD,Dulles  ,Washington Dulles International,P,L,11045217.0,13032502.0,-0.1525
22.0,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshal,P,L,10297607.0,9829432.0,0.0476
23.0,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,10289129.0,10601918.0,-0.0295
24.0,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,10204579.0,10729468.0,-0.0489
25.0,WP,HI,HNL,Honolulu,Honolulu International,P,L,9855838.0,9784404.0,0.0073
26.0,SO,FL,TPA,Tampa,Tampa International,P,L,9187865.0,9297643.0,-0.0118
27.0,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,8973410.0,8623907.0,0.0405
28.0,GL,IL,MDW,Chicago,Chicago Midway International,P,L,8915292.0,8383698.0,0.0634
29.0,WP,CA,SAN,San Diego,San Diego International,P,L,8724442.0,8628648.0,0.0111
30.0,SO,KY,CVG,Covington,Cincinnati/Northern Kentucky International,P,L,7984074.0,11277068.0,-0.292
,,,,Large Hubs,,,,511136492.0,,30.0
31.0,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,7076936.0,7071534.0,0.0008
32.0,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,7037400.0,6847228.0,0.0278
33.0,NM,OR,PDX,Portland,Portland International,P,M,6956712.0,6798976.0,0.0232
34.0,SO,TN,MEM,Memphis,Memphis International,P,M,5508235.0,5630305.0,-0.0217
35.0,CE,MO,MCI,Kansas City,Kansas City International,P,M,5466672.0,5063120.0,0.0797
36.0,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,5447482.0,5529629.0,-0.0149
37.0,WP,CA,SJC,San Jose,Norman Y. Mineta San Jose International,P,M,5283407.0,5309992.0,-0.005
38.0,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,5226471.0,5336690.0,-0.0207
39.0,WP,CA,SMF,Sacramento,Sacramento International,P,M,5182641.0,5108364.0,0.0145
40.0,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,4946256.0,5198442.0,-0.0485
41.0,SO,TN,BNA,Nashville,Nashville International,P,M,4779474.0,4563251.0,0.0474
42.0,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,4777896.0,4791786.0,-0.0029
43.0,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4706587.0,4723989.0,-0.0037
44.0,SW,TX,HOU,Houston,William P Hobby,P,M,4115021.0,3961642.0,0.0387
45.0,GL,IN,IND,Indianapolis,Indianapolis International,P,M,4008638.0,4221085.0,-0.0503
46.0,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,3945020.0,3645956.0,0.082
47.0,SW,TX,SAT,San Antonio,San Antonio International,P,M,3915428.0,3604665.0,0.0862
48.0,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,3764223.0,3701665.0,0.0169
49.0,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,3630098.0,3602536.0,0.0077
50.0,SW,TX,DAL,Dallas,Dallas Love Field,P,M,3443537.0,2949256.0,0.1676
51.0,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,3418310.0,3496936.0,-0.0225
52.0,NE,CT,BDL,Windsor Locks,Bradley International,P,M,3409938.0,3617453.0,-0.0574
53.0,WP,CA,ONT,Ontario,Ontario International,P,M,3404361.0,3458935.0,-0.0158
54.0,GL,OH,CMH,Columbus,Port Columbus International,P,M,3336994.0,3281452.0,0.0169
55.0,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,3176299.0,3169861.0,0.002
56.0,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,3127963.0,3912884.0,-0.2006
57.0,WP,HI,OGG,Kahului,Kahului,P,M,3027106.0,2843845.0,0.0644
58.0,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,2971953.0,2890298.0,0.0283
59.0,WP,CA,BUR,Burbank,Bob Hope,P,M,2836413.0,2761184.0,0.0272
60.0,NE,RI,PVD,Warwick,Theodore Francis Green State,P,M,2588992.0,2846002.0,-0.0903
61.0,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2522123.0,2436952.0,0.0349
62.0,WP,NV,RNO,Reno,Reno/Tahoe International,P,M,2441502.0,2510458.0,-0.0275
63.0,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2367390.0,2430081.0,-0.0258
64.0,WP,AZ,TUS,Tucson,Tucson International,P,M,2090514.0,2050377.0,0.0196
65.0,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2075306.0,2052234.0,0.0112
66.0,NE,NH,MHT,Manchester,Manchester,P,M,1931563.0,2149035.0,-0.1012
67.0,EA,VA,ORF,Norfolk,Norfolk International,P,M,1862325.0,1953003.0,-0.0464
,,,,Medium Hubs,,,,145807186.0,,37.0
