Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY08 Enplanements,CY07 Enplanements,% Change
1.0,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,43761280.0,43236665.0,0.0121
2.0,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,33683991.0,36521585.0,-0.0777
3.0,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,28861477.0,30113985.0,-0.0416
4.0,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,27219285.0,28482417.0,-0.0443
5.0,NM,CO,DEN,Denver,Denver International,P,L,24287939.0,24117623.0,0.0071
6.0,EA,NY,JFK,New York,John F Kennedy International,P,L,23620948.0,23401351.0,0.0094
7.0,WP,NV,LAS,Las Vegas,McCarran International,P,L,21024443.0,22537950.0,-0.0672
8.0,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,20030898.0,20767144.0,-0.0355
9.0,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,19450576.0,20796173.0,-0.0647
10.0,WP,CA,SFO,San Francisco  ,San Francisco International,P,L,18135827.0,17280328.0,0.0495
11.0,EA,NJ,EWR,Newark,Newark Liberty International,P,L,17599578.0,18163652.0,-0.0311
12.0,SO,FL,MCO,Orlando,Orlando International,P,L,17288480.0,17614679.0,-0.0185
13.0,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,17281425.0,16584780.0,0.042
14.0,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,16998174.0,17495135.0,-0.0284
15.0,SO,FL,MIA,Miami,Miami International,P,L,16377488.0,16194162.0,0.0113
16.0,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,16369324.0,16962563.0,-0.035
17.0,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,15839504.0,15419116.0,0.0273
18.0,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15586852.0,15656653.0,-0.0045
19.0,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,12820489.0,13783297.0,-0.0699
20.0,EA,NY,LGA,New York,La Guardia,P,L,11567586.0,12529890.0,-0.0768
21.0,EA,VA,IAD,Dulles,Washington Dulles International,P,L,11348775.0,11789441.0,-0.0374
22.0,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,11020091.0,11079250.0,-0.0053
23.0,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshal,P,L,10215225.0,10487789.0,-0.026
24.0,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,9993198.0,10560906.0,-0.0538
25.0,WP,HI,HNL,Honolulu,Honolulu International,P,L,9013440.0,10393929.0,-0.1328
26.0,WP,CA,SAN,San Diego,San Diego International,P,L,9007617.0,9138116.0,-0.0143
27.0,SO,FL,TPA,Tampa,Tampa International,P,L,8871917.0,9306036.0,-0.0466
28.0,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,8704466.0,9038174.0,-0.0369
29.0,GL,IL,MDW,Chicago,Chicago Midway International,P,L,8021383.0,9132836.0,-0.1217
30.0,NM,OR,PDX,Portland,Portland International,P,M,7090526.0,7281057.0,-0.0262
31.0,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6740468.0,7130801.0,-0.0547
32.0,SO,KY,CVG,Cincinnati ,Cincinnati/Northern Kentucky International,P,M,6648600.0,7728069.0,-0.1397
33.0,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,5583748.0,7144127.0,-0.2184
34.0,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,5387625.0,5571219.0,-0.033
35.0,CE,MO,MCI,Kansas City,Kansas City International,P,M,5386242.0,5833064.0,-0.0766
36.0,SO,TN,MEM,Memphis,Memphis International,P,M,5376818.0,5546321.0,-0.0306
