Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 09 Boardings,CY 08 Boardings,% Change
61.0,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2282637.0,2599313.0,-0.1218
120.0,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,424496.0,456947.0,-0.071
142.0,AL,AK,JNU,Juneau,Juneau International,P,N,337038.0,378741.0,-0.1101
197.0,AL,AK,BET,Bethel,Bethel,P,N,134848.0,140291.0,-0.0388
219.0,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,96996.0,108837.0,-0.1088
229.0,AL,AK,ENA,Kenai,Kenai Municipal,P,N,82184.0,96565.0,-0.1489
232.0,AL,AK,ADQ,Kodiak,Kodiak,P,N,78375.0,82057.0,-0.0449
249.0,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,62498.0,68197.0,-0.0836
256.0,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,57472.0,66322.0,-0.1334
258.0,AL,AK,OME,Nome,Nome,P,N,54994.0,59984.0,-0.0832
279.0,AL,AK,AKN,King Salmon,King Salmon,P,N,40530.0,42310.0,-0.0421
280.0,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,--,40462.0,38945.0,0.039
281.0,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,39494.0,40674.0,-0.029
284.0,AL,AK,HOM,Homer,Homer,P,N,38532.0,44288.0,-0.13
296.0,AL,AK,SCC,Deadhorse,Deadhorse,P,N,31395.0,99719.0,-0.6852
299.0,AL,AK,DLG,Dillingham,Dillingham,P,N,29214.0,32215.0,-0.0932
310.0,AL,AK,DUT,Unalaska,Unalaska,P,N,26705.0,28234.0,-0.0542
342.0,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,17988.0,19901.0,-0.0961
348.0,AL,AK,ANI,Aniak,Aniak,P,N,16255.0,18526.0,-0.1226
354.0,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,15372.0,16640.0,-0.0762
355.0,AL,AK,LHD,Anchorage,Lake Hood,P,N,15018.0,15184.0,-0.0109
356.0,AL,AK,MRI,Anchorage,Merrill Field,P,N,14769.0,15206.0,-0.0287
357.0,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,14363.0,14981.0,-0.0413
363.0,AL,AK,MBA,Manokotak,Manokotak,P,N,13570.0,13393.0,0.0132
374.0,AL,AK,YAK,Yakutat,Yakutat,P,N,12158.0,11028.0,0.1025
386.0,AL,AK,WRG,Wrangell,Wrangell,P,N,10790.0,10601.0,0.0178
389.0,AL,AK,UNK,Unalakleet,Unalakleet,P,N,10571.0,12327.0,-0.1425
395.0,AL,AK,ENM,Emmonak,Emmonak,CS,--,9872.0,9097.0,0.0852
398.0,AL,AK,DGG,Red Dog Mine,Red Dog,GA,--,9041.0,9599.0,-0.0581
399.0,AL,AK,CDB,Cold Bay,Cold Bay,CS,--,8968.0,9105.0,-0.015
402.0,AL,AK,GST,Gustavus,Gustavus,CS,--,8822.0,11828.0,-0.2541
409.0,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,--,7738.0,8298.0,-0.0675
411.0,AL,AK,HNH,Hoonah,Hoonah,CS,--,7651.0,7680.0,-0.0038
414.0,AL,AK,GAL,Galena,Edward G. Pitka Sr,CS,--,7447.0,7784.0,-0.0433
416.0,AL,AK,KSM,St Mary's,St Mary's,CS,--,7213.0,9808.0,-0.2646
418.0,AL,AK,HNS,Haines,Haines,CS,--,7099.0,7035.0,0.0091
424.0,AL,AK,T44,Kodiak,Trident Basin,CS,--,6634.0,11218.0,-0.4086
426.0,AL,AK,SGY,Skagway,Skagway,CS,--,6468.0,10727.0,-0.397
430.0,AL,AK,AQH,Quinhagak,Quinhagak,CS,--,6387.0,6950.0,-0.081
431.0,AL,AK,ILI,Iliamna,Iliamna,CS,--,6328.0,9545.0,-0.337
435.0,AL,AK,SOV,Seldovia,Seldovia,CS,--,6270.0,7696.0,-0.1853
445.0,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,--,5521.0,6002.0,-0.0801
446.0,AL,AK,VAK,Chevak,Chevak,CS,--,5507.0,4741.0,0.1616
453.0,AL,AK,IIK,Kipnuk,Kipnuk,CS,--,5133.0,4924.0,0.0424
455.0,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,--,4985.0,6055.0,-0.1767
456.0,AL,AK,MCG,McGrath,McGrath,CS,--,4893.0,5278.0,-0.0729
458.0,AL,AK,EDF,Anchorage,Elmendorf AFB,GA,--,4812.0,4152.0,0.159
460.0,AL,AK,WLK,Selawik,Selawik,CS,--,4679.0,5920.0,-0.2096
462.0,AL,AK,PHO,Point Hope,Point Hope,CS,--,4644.0,5236.0,-0.1131
463.0,AL,AK,CGA,Craig,Craig,CS,--,4470.0,5844.0,-0.2351
466.0,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,--,4410.0,4103.0,0.0748
468.0,AL,AK,WTK,Noatak,Noatak,CS,--,4383.0,5536.0,-0.2083
469.0,AL,AK,MOU,Mountain Village,Mountain Village,CS,--,4373.0,5100.0,-0.1425
473.0,AL,AK,DUY,Kongiganak,Kongiganak,CS,--,4143.0,3835.0,0.0803
474.0,AL,AK,SVA,Savoonga,Savoonga,CS,--,4088.0,4156.0,-0.0164
477.0,AL,AK,Z09,Kasigluk,Kasigluk,CS,--,3969.0,3871.0,0.0253
478.0,AL,AK,SDP,Sand Point,Sand Point,CS,--,3957.0,4296.0,-0.0789
481.0,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,--,3925.0,3861.0,0.0166
483.0,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,--,3856.0,3832.0,0.0063
487.0,AL,AK,AWI,Wainwright,Wainwright,CS,--,3770.0,3547.0,0.0629
489.0,AL,AK,KEB,English Bay,Nanwalek,CS,--,3566.0,3533.0,0.0093
491.0,AL,AK,GAM,Gambell,Gambell,CS,--,3489.0,3793.0,-0.0801
495.0,AL,AK,MTM,Metlakatla,Metlakatla,CS,--,3403.0,3344.0,0.0176
497.0,AL,AK,KVL,Kivalina,Kivalina,CS,--,3386.0,3784.0,-0.1052
498.0,AL,AK,2A9,Kotlik,Kotlik,CS,--,3377.0,4237.0,-0.203
501.0,AL,AK,SHH,Shishmaref,Shishmaref,CS,--,3369.0,3476.0,-0.0308
502.0,AL,AK,HLA,Huslia,Huslia,CS,--,3324.0,3331.0,-0.0021
503.0,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,--,3309.0,3359.0,-0.0149
504.0,AL,AK,AUK,Alakanuk,Alakanuk,CS,--,3302.0,4015.0,-0.1776
505.0,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,--,3298.0,3549.0,-0.0707
507.0,AL,AK,6R7,Old Harbor,Old Harbor,CS,--,3226.0,3282.0,-0.0171
508.0,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,--,3207.0,3907.0,-0.1792
509.0,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,--,3203.0,3083.0,0.0389
510.0,AL,AK,KLG,Kalskag,Kalskag,CS,--,3199.0,3147.0,0.0165
511.0,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,--,3130.0,3301.0,-0.0518
512.0,AL,AK,CFK,Chefornak,Chefornak,CS,--,3126.0,3236.0,-0.034
513.0,AL,AK,BVK,Buckland,Buckland,CS,--,3105.0,4016.0,-0.2268
514.0,AL,AK,0AK,Pilot Station,Pilot Station,CS,--,3058.0,3563.0,-0.1417
515.0,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,--,3009.0,2933.0,0.0259
517.0,AL,AK,4K5,Ouzinkie,Ouzinkie,CS,--,2999.0,2071.0,0.4481
518.0,AL,AK,EEK,Eek,Eek,CS,--,2948.0,3292.0,-0.1045
520.0,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,--,2894.0,3029.0,-0.0446
523.0,AL,AK,KVC,King Cove,King Cove,CS,--,2866.0,2647.0,0.0827
525.0,AL,AK,NUL,Nulato,Nulato,CS,--,2833.0,2917.0,-0.0288
526.0,AL,AK,TYE,Tyonek,Tyonek,GA,--,2806.0,2356.0,0.191
527.0,AL,AK,PGM,Port Graham,Port Graham,CS,--,2794.0,2916.0,-0.0418
529.0,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,--,2763.0,2892.0,-0.0446
530.0,AL,AK,TLT,Tuluksak,Tuluksak,CS,--,2762.0,2630.0,0.0502
533.0,AL,AK,SMK,St Michael,St Michael,CS,--,2711.0,3493.0,-0.2239
535.0,AL,AK,ORI,Port Lions,Port Lions,CS,--,2666.0,2386.0,0.1174
538.0,AL,AK,AQT,Nuiqsut,Nuiqsut,CS,--,2597.0,2819.0,-0.0788
540.0,AL,AK,RSH,Russian Mission,Russian Mission,CS,--,2587.0,2708.0,-0.0447
542.0,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,--,2538.0,2850.0,-0.1095
544.0,AL,AK,UUO,Willow,Willow,GA,--,2500.0,2703.0,-0.0751
548.0,AL,AK,BLG,Beluga,Beluga,GA,--,2410.0,2541.0,-0.0516
549.0,AL,AK,KWT,Kwethluk,Kwethluk,GA,--,2397.0,2602.0,-0.0788
550.0,AL,AK,6A8,Allakaket,Allakaket,GA,--,2324.0,2304.0,0.0087
551.0,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,GA,--,2310.0,2541.0,-0.0909
552.0,AL,AK,WBB,Stebbins,Stebbins,GA,--,2296.0,2571.0,-0.107
553.0,AL,AK,KTB,Thorne Bay,Thorne Bay,GA,--,2283.0,2640.0,-0.1352
555.0,AL,AK,KTS,Brevig Mission,Brevig Mission,GA,--,2274.0,2119.0,0.0731
556.0,AL,AK,EWU,Newtok,Newtok,GA,--,2221.0,2192.0,0.0132
557.0,AL,AK,Z13,Akiachak,Akiachak,GA,--,2218.0,2207.0,0.005
559.0,AL,AK,SHG,Shungnak,Shungnak,GA,--,2175.0,2626.0,-0.1717
562.0,AL,AK,ELI,Elim,Elim,GA,--,2156.0,2356.0,-0.0849
565.0,AL,AK,5Z9,Katmai National Park,Lake Brooks,GA,--,2130.0,5547.0,-0.616
566.0,AL,AK,VEE,Venetie,Venetie,GA,--,2120.0,1993.0,0.0637
567.0,AL,AK,ATK,Atqasuk,Atqasuk Edward Burnell Sr Memorial,GA,--,2107.0,2105.0,0.001
572.0,AL,AK,AFM,Ambler,Ambler,GA,--,2023.0,2365.0,-0.1446
578.0,AL,AK,KAL,Kaltag,Kaltag,GA,--,1945.0,2099.0,-0.0734
579.0,AL,AK,4A2,Atmautluak,Atmautluak,GA,--,1915.0,2244.0,-0.1466
580.0,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,GA,--,1907.0,1989.0,-0.0412
