Rank,FAA Region,ST,Locid,City,Airport Name,Service Lvel,Hub,CY 14 Enplanements,CY 13 Enplanements,% Change
56,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2381826,2325030,0.0244
123,AL,AK,FAI,Fairbanks,Fairbanks International,P,S,459769,457372,0.0052
137,AL,AK,JNU,Juneau,Juneau International,P,N,375828,359291,0.046
201,AL,AK,BET,Bethel,Bethel,P,N,155936,152084,0.0253
219,AL,AK,KTN,Ketchikan,Ketchikan International,P,N,115948,109433,0.0595
225,AL,AK,ENA,Kenai,Kenai Municipal,P,N,100448,99821,0.0063
246,AL,AK,ADQ,Kodiak,Kodiak,P,N,79966,79930,0.0005
250,AL,AK,SIT,Sitka,Sitka Rocky Gutierrez,P,N,72027,67989,0.0594
260,AL,AK,OTZ,Kotzebue,Ralph Wien Memorial,P,N,63128,61274,0.0303
269,AL,AK,OME,Nome,Nome,P,N,58610,58020,0.0102
273,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,56995,51568,0.1052
275,AL,AK,SCC,Deadhorse,Deadhorse,P,N,56001,48588,0.1526
289,AL,AK,5KE,Ketchikan,Ketchikan Harbor,GA,None,46483,45477,0.0221
295,AL,AK,DLG,Dillingham,Dillingham,P,N,39414,26632,0.4799
296,AL,AK,HOM,Homer,Homer,P,N,38862,37705,0.0307
305,AL,AK,AKN,King Salmon,King Salmon,P,N,35012,35450,-0.0124
321,AL,AK,DUT,Unalaska,Unalaska,P,N,29370,28556,0.0285
339,AL,AK,MRI,Anchorage,Merrill Field,P,N,22210,13440,0.6525
355,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,19065,20046,-0.0489
368,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,14658,13318,0.1006
369,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,14479,15772,-0.082
373,AL,AK,LHD,Anchorage,Lake Hood,P,N,13545,24026,-0.4362
376,AL,AK,UNK,Unalakleet,Unalakleet,P,N,13099,14011,-0.0651
378,AL,AK,ANI,Aniak,Aniak,P,N,12955,14334,-0.0962
382,AL,AK,KSM,St Mary's,St Mary's,P,N,12473,13949,-0.1058
384,AL,AK,GAL,Galena,Edward G Pitka Sr,P,N,12349,14141,-0.1267
387,AL,AK,WRG,Wrangell,Wrangell,P,N,11828,11807,0.0018
395,AL,AK,YAK,Yakutat,Yakutat,P,N,10619,10135,0.0478
399,AL,AK,DGG,Red Dog Mine,Red Dog,GA,None,10101,10473,-0.0355
400,AL,AK,HNH,Hoonah,Hoonah,CS,None,9849,10468,-0.0591
402,AL,AK,GST,Gustavus,Gustavus,CS,None,9484,10076,-0.0588
403,AL,AK,ENM,Emmonak,Emmonak,CS,None,9447,8268,0.1426
404,AL,AK,MBA,Manokotak,Manokotak,CS,None,9437,11903,-0.2072
412,AL,AK,HNS,Haines,Haines,CS,None,8368,10106,-0.172
415,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,8172,8665,-0.0569
420,AL,AK,AKW,Klawock,Klawock,CS,None,7780,1550,4.0194
421,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,7759,7134,0.0876
424,AL,AK,SGY,Skagway,Skagway,CS,None,7296,8050,-0.0937
425,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,7148,7441,-0.0394
433,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,6451,6114,0.0551
435,AL,AK,ILI,Iliamna,Iliamna,CS,None,6092,5688,0.071
437,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,5962,4067,0.4659
440,AL,AK,VAK,Chevak,Chevak,CS,None,5690,5203,0.0936
451,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,5460,4783,0.1415
459,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,5088,5206,-0.0227
461,AL,AK,AUK,Alakanuk,Alakanuk,CS,None,5042,3152,0.5996
463,AL,AK,WLK,Selawik,Selawik,CS,None,4898,4336,0.1296
466,AL,AK,2A9,Kotlik,Kotlik,CS,None,4782,3622,0.3203
467,AL,AK,MOU,Mountain Village,Mountain Village,CS,None,4760,4571,0.0413
468,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,4719,5089,-0.0727
470,AL,AK,CFK,Chefornak,Chefornak,CS,None,4590,4414,0.0399
472,AL,AK,EDF,Anchorage,Elmendorf AFB,GA,None,4527,1602,1.8258
473,AL,AK,PHO,Point Hope,Point Hope,CS,None,4518,4735,-0.0458
474,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,4508,4178,0.079
475,AL,AK,KWT,Kwethluk,Kwethluk,CS,None,4485,3871,0.1586
481,AL,AK,WTK,Noatak,Noatak,CS,None,4296,4088,0.0509
484,AL,AK,SDP,Sand Point,Sand Point,CS,None,4135,3976,0.04
486,AL,AK,MTM,Metlakatla,Metlakatla,CS,None,4057,4243,-0.0438
490,AL,AK,BVK,Buckland,Buckland,CS,None,4009,3138,0.2776
491,AL,AK,GGV,Kwigillingok,Kwigillingok,CS,None,4002,3602,0.111
492,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,3946,4188,-0.0578
494,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,3904,3904,0
497,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,3861,3665,0.0535
498,AL,AK,EEK,Eek,Eek,CS,None,3857,3913,-0.0143
502,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,3796,3637,0.0437
503,AL,AK,Z13,Akiachak,Akiachak,CS,None,3771,2928,0.2879
504,AL,AK,AWI,Wainwright,Wainwright,CS,None,3731,3959,-0.0576
508,AL,AK,TPO,Port Alsworth,Port Alsworth,GA,None,3567,117,29.4872
510,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,3508,3123,0.1233
511,AL,AK,16A,Nunapitchuk,Nunapitchuk,CS,None,3484,3652,-0.046
512,AL,AK,SOV,Seldovia,Seldovia,CS,None,3459,3774,-0.0835
513,AL,AK,GAM,Gambell,Gambell,CS,None,3420,3312,0.0326
514,AL,AK,IAN,Kiana,Bob Baker Memorial,CS,None,3388,3463,-0.0217
515,AL,AK,SVA,Savoonga,Savoonga,CS,None,3352,3099,0.0816
517,AL,AK,HLA,Huslia,Huslia,CS,None,3269,3012,0.0853
520,AL,AK,KVL,Kivalina,Kivalina,CS,None,3171,2975,0.0659
524,AL,AK,MDM,Marshall,Marshall Don Hunter Sr,CS,None,3074,2786,0.1034
525,AL,AK,KLG,Kalskag,Kalskag,CS,None,3060,3127,-0.0214
529,AL,AK,TAL,Tanana,Ralph M Calhoun Memorial,CS,None,3027,2811,0.0768
532,AL,AK,TLT,Tuluksak,Tuluksak,CS,None,2994,2641,0.1337
534,AL,AK,MCG,McGrath,McGrath,CS,None,2968,3658,-0.1886
535,AL,AK,4A2,Atmautluak,Atmautluak,CS,None,2959,2500,0.1836
537,AL,AK,BTI,Kaktovik,Barter Island LRRS,CS,None,2925,2382,0.228
538,AL,AK,6R7,Old Harbor,Old Harbor,CS,None,2913,2870,0.015
539,AL,AK,CGA,Craig,Craig,CS,None,2869,3387,-0.1529
540,AL,AK,EWU,Newtok,Newtok,CS,None,2841,2744,0.0353
541,AL,AK,EIL,Fairbanks,Eielson AFB,GA,None,2782,502,4.5418
543,AL,AK,TYE,Tyonek,Tyonek,GA,None,2758,3023,-0.0877
544,AL,AK,KTB,Thorne Bay,Thorne Bay,CS,None,2744,2681,0.0235
545,AL,AK,SNP,Saint Paul Island,St Paul Island,CS,None,2727,2676,0.0191
546,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,2703,2490,0.0855
547,AL,AK,RSH,Russian Mission,Russian Mission,CS,None,2596,2272,0.1426
548,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,2595,2336,0.1109
552,AL,AK,NUL,Nulato,Nulato,GA,None,2489,2442,0.0192
556,AL,AK,4KA,Tununak,Tununak,GA,None,2465,1791,0.3763
558,AL,AK,VEE,Venetie,Venetie,GA,None,2413,2183,0.1054
562,AL,AK,KVC,King Cove,King Cove,GA,None,2360,2829,-0.1658
563,AL,AK,PKA,Napaskiak,Napaskiak,GA,None,2321,1764,0.3158
564,AL,AK,BLG,Beluga,Beluga,GA,None,2306,1734,0.3299
565,AL,AK,KKA,Koyuk,Koyuk Alfred Adams,GA,None,2294,2118,0.0831
566,AL,AK,WBB,Stebbins,Stebbins,GA,None,2256,2244,0.0053
567,AL,AK,SHG,Shungnak,Shungnak,GA,None,2232,2151,0.0377
569,AL,AK,AKI,Akiak,Akiak,GA,None,2226,2104,0.058
570,AL,AK,2C7,Shaktoolik,Shaktoolik,GA,None,2223,2022,0.0994
571,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,GA,None,2194,2023,0.0845
572,AL,AK,RBY,Ruby,Ruby,GA,None,2190,2388,-0.0829
573,AL,AK,ELI,Elim,Elim,GA,None,2145,2030,0.0567
574,AL,AK,KEB,English Bay,Nanwalek,GA,None,2131,2138,-0.0033
