Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 18 Enplanements,CY 17 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,51865797,50251964,0.0321
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,42624050,41232432,0.0338
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,39873927,38593028,0.0332
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,32821799,31816933,0.0316
5,NM,CO,DEN,Denver,Denver International,P,L,31362941,29809097,0.0521
6,EA,NY,JFK,New York,John F Kennedy International,P,L,30620769,29533154,0.0368
7,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,27790717,26900048,0.0331
8,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,24024908,22639124,0.0612
9,WP,NV,LAS,Las Vegas,McCarran International,P,L,23795012,23364393,0.0184
10,SO,FL,MCO,Orlando,Orlando International,P,L,23202480,21565448,0.0759
11,EA,NJ,EWR,Newark,Newark Liberty International,P,L,22797602,21571198,0.0569
12,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,22281949,22011251,0.0123
13,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,21622580,21185458,0.0206
14,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,21157398,19603731,0.0793
15,SO,FL,MIA,Miami,Miami International,P,L,21021640,20709225,0.0151
16,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,20006521,18759742,0.0665
17,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,18361942,18409704,-0.0026
18,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,17612331,15817043,0.1135
19,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,17436837,17036092,0.0235
20,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15292670,14271243,0.0716
21,EA,NY,LGA,New York,Laguardia,P,L,15058501,14614802,0.0304
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,13371816,12976554,0.0305
23,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,12226730,11615954,0.0526
24,WP,CA,SAN,San Diego,San Diego International,P,L,12174224,11139933,0.0928
25,EA,VA,IAD,Dulles,Washington Dulles International,P,L,11621623,11024306,0.0542
26,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,11366771,11506310,-0.0121
27,GL,IL,MDW,Chicago,Chicago Midway International,P,L,10678018,10912074,-0.0214
28,SO,FL,TPA,Tampa,Tampa International,P,L,10368514,9548580,0.0859
29,WP,HI,HNL,Honolulu,Daniel K Inouye International,P,L,10017149,9743989,0.028
30,NM,OR,PDX,Portland,Portland International,P,L,9804868,9435473,0.0391
,,,30,,Large Hubs,,,,,
31,SO,TN,BNA,Nashville,Nashville International,P,M,8017347,6902771,0.1615
32,SW,TX,DAL,Dallas,Dallas Love Field,P,M,8011221,7593361,0.055
33,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,7714479,6813171,0.1323
34,CE,MO,STL,St. Louis,St Louis Lambert International,P,M,7631953,7194745,0.0608
35,SW,TX,HOU,Houston,William P Hobby,P,M,7053886,6538976,0.0787
36,WP,CA,SJC,San Jose,Norman Y Mineta San Jose International,P,M,7032851,6130878,0.1471
37,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,6686603,6413842,0.0425
38,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,6582066,6022318,0.0929
39,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,6258101,5692659,0.0993
40,WP,CA,SMF,Sacramento,Sacramento International,P,M,5907629,5341595,0.106
41,CE,MO,MCI,Kansas City,Kansas City International,P,M,5790847,5628581,0.0288
42,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,5201642,5082716,0.0234
43,SW,TX,SAT,San Antonio,San Antonio International,P,M,4844427,4382127,0.1055
44,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4701713,4446555,0.0574
45,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,4670033,4327434,0.0792
46,GL,IN,IND,Indianapolis,Indianapolis International,P,M,4655847,4343722,0.0719
47,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,4602113,4364224,0.0545
48,SO,KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,4269258,3791989,0.1259
49,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,4033412,4203766,-0.0405
50,GL,OH,CMH,Columbus,John Glenn Columbus International,P,M,3976620,3689570,0.0778
51,WP,HI,OGG,Kahului,Kahului,P,M,3571660,3442189,0.0376
52,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,3496724,3414477,0.0241
53,NE,CT,BDL,Windsor Locks,Bradley International,P,M,3278035,3164647,0.0358
54,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,3270605,3110450,0.0515
55,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,3135508,2701861,0.1605
56,WP,CA,BUR,Burbank,Bob Hope,P,M,2680240,2402106,0.1158
57,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,2647269,2412328,0.0974
58,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2642607,2556191,0.0338
59,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2523158,2348512,0.0744
60,WP,CA,ONT,Ontario,Ontario International,P,M,2498993,2247645,0.1118
61,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2454878,2243658,0.0941
,,,31,,Medium Hubs,,,,,
62,SO,TN,MEM,Memphis,Memphis International,P,S,2213083,2102739,0.0525
63,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,2192893,1945699,0.127
64,NE,RI,PVD,Warwick,Theodore Francis Green State,P,S,2117409,1940806,0.091
65,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,2094708,1894289,0.1058
66,WP,NV,RNO,Reno,Reno/Tahoe International,P,S,2048916,1953028,0.0491
67,EA,VA,RIC,Highland Springs,Richmond International,P,S,2048691,1822486,0.1241
