Rank,Locid,Airport Name,City,ST,Region,Service   Level,Hub   Type,2001       Boardings
1.0,ATL,The William B Hartsfield Atlanta International,Atlanta,GA,SO,P,L,37181068.0
2.0,ORD,Chicago O'Hare International,Chicago,IL,GL,P,L,31529561.0
3.0,LAX,Los Angeles International,Los Angeles,CA,WP,P,L,29365436.0
4.0,DFW,Dallas/Fort Worth International,Fort Worth,TX,SW,P,L,25610562.0
5.0,PHX,Phoenix Sky Harbor International,Phoenix,AZ,WP,P,L,17478622.0
6.0,DEN,Denver International,Denver,CO,NM,P,L,17178872.0
7.0,LAS,Mc Carran International,Las Vegas,NV,WP,P,L,16633435.0
8.0,SFO,San Francisco International,San Francisco,CA,WP,P,L,16475611.0
9.0,IAH,George Bush Intercontinental,Houston,TX,SW,P,L,16173551.0
10.0,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,Minneapolis,MN,GL,P,L,15852433.0
11.0,DTW,Detroit Metropolitan Wayne County,Detroit,MI,GL,P,L,15819584.0
12.0,EWR,Newark International,Newark,NJ,EA,P,L,15497560.0
13.0,MIA,Miami International,Miami,FL,SO,P,L,14941663.0
14.0,JFK,John F Kennedy International,New York,NY,EA,P,L,14553815.0
15.0,MCO,Orlando International,Orlando,FL,SO,P,L,13622397.0
16.0,STL,Lambert-St Louis International,St. Louis,MO,CE,P,L,13264751.0
17.0,SEA,Seattle-Tacoma International,Seattle,WA,NM,P,L,13184630.0
18.0,BOS,General Edward Lawrence Logan International,Boston,MA,NE,P,L,11739553.0
19.0,PHL,Philadelphia International,Philadelphia,PA,EA,P,L,11736129.0
20.0,CLT,Charlotte/Douglas International,Charlotte,NC,SO,P,L,11548952.0
21.0,LGA,La Guardia,New York,NY,EA,P,L,11352248.0
22.0,BWI,Baltimore-Washington International,Baltimore,MD,EA,P,L,10098665.0
23.0,PIT,Pittsburgh International,Pittsburgh,PA,EA,P,L,9939223.0
24.0,HNL,Honolulu International,Honolulu,HI,WP,P,L,9810860.0
25.0,SLC,Salt Lake City International,Salt Lake City,UT,NM,P,L,8951776.0
26.0,CVG,Cincinnati/Northern Kentucky International,"Covington/Cincinnati, Oh",KY,SO,P,L,8586907.0
27.0,IAD,Washington Dulles International,Chantilly,VA,EA,P,L,8484112.0
28.0,FLL,Fort Lauderdale/Hollywood International,Fort Lauderdale,FL,SO,P,L,8015055.0
29.0,TPA,Tampa International,Tampa,FL,SO,P,L,7901725.0
30.0,SAN,San Diego International-Lindbergh Field,San Diego,CA,WP,P,L,7506320.0
31.0,MDW,Chicago Midway International,Chicago,IL,GL,P,L,7112784.0
32.0,DCA,Ronald Reagan Washington National,Arlington,VA,EA,P,M,6267395.0
33.0,PDX,Portland International,Portland,OR,NM,P,M,6168103.0
34.0,SJC,San Jose International,San Jose,CA,WP,P,M,5981440.0
35.0,CLE,Cleveland-Hopkins International,Cleveland,OH,GL,P,M,5633495.0
36.0,MCI,Kansas City International,Kansas City,MO,CE,P,M,5614347.0
37.0,OAK,Metropolitan Oakland International,Oakland,CA,WP,P,M,5566100.0
38.0,MEM,Memphis International,Memphis,TN,SO,P,M,5560524.0
39.0,RDU,Raleigh-Durham International,Raleigh/Durham,NC,SO,P,M,4890606.0
40.0,MSY,New Orleans International/Moisant Field/,New Orleans,LA,SW,P,M,4767533.0
41.0,SJU,Luis Munoz Marin International,San Juan,PR,SO,P,M,4706307.0
42.0,BNA,Nashville International,Nashville,TN,SO,P,M,4209465.0
43.0,HOU,William P Hobby,Houston,TX,SW,P,M,4128980.0
44.0,SMF,Sacramento International,Sacramento,CA,WP,P,M,4021102.0
45.0,SNA,John Wayne Airport-Orange County,Santa Ana,CA,WP,P,M,3688304.0
46.0,IND,Indianapolis International,Indianapolis,IN,GL,P,M,3595425.0
47.0,AUS,Austin-Bergstrom International,Austin,TX,SW,P,M,3428202.0
48.0,BDL,Bradley International,Windsor Locks,CT,NE,P,M,3416243.0
49.0,DAL,Dallas Love Field,Dallas,TX,SW,P,M,3352083.0
50.0,SAT,San Antonio International,San Antonio,TX,SW,P,M,3313545.0
51.0,CMH,Port Columbus International,Columbus,OH,GL,P,M,3296013.0
52.0,ONT,Ontario International,Ontario,CA,WP,P,M,3168975.0
53.0,ABQ,Albuquerque International Sunport,Albuquerque,NM,SW,P,M,3095899.0
54.0,PBI,Palm Beach International,West Palm Beach,FL,SO,P,M,2954015.0
55.0,MKE,General Mitchell International,Milwaukee,WI,GL,P,M,2825473.0
56.0,OGG,Kahului,Kahului,HI,WP,P,M,2777692.0
57.0,PVD,Theodore Francis Green State,Providence,RI,NE,P,M,2751762.0
58.0,RSW,Southwest Florida International,Fort Myers,FL,SO,P,M,2596005.0
59.0,JAX,Jacksonville International,Jacksonville,FL,SO,P,M,2523809.0
60.0,ANC,Ted Stevens Anchorage International,Anchorage,AK,AL,P,M,2419261.0
61.0,RNO,Reno/Tahoe International,Reno,NV,WP,P,M,2388923.0
62.0,BUR,Burbank-Glendale-Pasadena,Burbank,CA,WP,P,M,2250685.0
63.0,BUF,Buffalo Niagara International,Buffalo,NY,EA,P,M,2204087.0
64.0,SDF,Louisville International-Standiford Field,Louisville,KY,SO,P,M,1876499.0
65.0,OMA,Eppley Airfield,Omaha,NE,CE,P,M,1773894.0
66.0,TUS,Tucson International,Tucson,AZ,WP,P,M,1749560.0
67.0,OKC,Will Rogers World,Oklahoma City,OK,SW,P,M,1675889.0
68.0,TUL,Tulsa International,Tulsa,OK,SW,P,S,1627293.0
69.0,MHT,Manchester,Manchester,NH,NE,P,S,1599062.0
70.0,ELP,El Paso International,El Paso,TX,SW,P,S,1544734.0
71.0,BHM,Birmingham International,Birmingham,AL,SO,P,S,1505133.0
72.0,GUM,Guam International,Agana,GU,WP,P,S,1489164.0
73.0,ORF,Norfolk International,Norfolk,VA,EA,P,S,1478687.0
74.0,ALB,Albany International,Albany,NY,EA,P,S,1463632.0
75.0,BOI,Boise Air Terminal/Gowen Field,Boise,ID,NM,P,S,1425007.0
76.0,GEG,Spokane International,Spokane,WA,NM,P,S,1423624.0
77.0,LIH,Lihue,Lihue,HI,WP,P,S,1342287.0
78.0,GSO,Piedmont Triad International,Greensboro,NC,SO,P,S,1317519.0
79.0,KOA,Kona International at Keahole,Kailua Kona,HI,WP,P,S,1235893.0
80.0,LIT,Adams Field,Little Rock,AR,SW,P,S,1211753.0
81.0,RIC,Richmond International,Richmond,VA,EA,P,S,1187681.0
82.0,ROC,Greater Rochester International,Rochester,NY,EA,P,S,1132597.0
83.0,DAY,James M Cox Dayton International,Dayton,OH,GL,P,S,1070456.0
84.0,COS,City of Colorado Springs Municipal,Colorado Springs,CO,NM,P,S,1050344.0
85.0,ISP,Long Island Mac Arthur,Islip,NY,EA,P,S,1009919.0
86.0,SYR,Syracuse Hancock International,Syracuse,NY,EA,P,S,936450.0
87.0,GRR,Gerald R. Ford International,Grand Rapids,MI,GL,P,S,906768.0
88.0,SAV,Savannah International,Savannah,GA,SO,P,S,836791.0
89.0,DSM,Des Moines International,Des Moines,IA,CE,P,S,789715.0
90.0,CHS,Charleston AFB/International,Charleston,SC,SO,P,S,786326.0
91.0,ITO,Hilo International,Hilo,HI,WP,P,S,714537.0
92.0,TYS,Mc Ghee Tyson,Knoxville,TN,SO,P,S,705607.0
93.0,GSP,Greenville-Spartanburg International,Greer,SC,SO,P,S,701606.0
94.0,MYR,Myrtle Beach International,Myrtle Beach,SC,SO,P,S,695502.0
95.0,MSN,Dane County Regional-Truax Field,Madison,WI,GL,P,S,675034.0
96.0,SFB,Orlando Sanford,Orlando,FL,SO,P,S,645944.0
97.0,JAN,Jackson International,Jackson,MS,SO,P,S,642146.0
98.0,PWM,Portland International Jetport,Portland,ME,NE,P,S,625591.0
99.0,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,SO,P,S,590391.0
100.0,PSP,Palm Springs International,Palm Springs,CA,WP,P,S,586028.0
101.0,MDT,Harrisburg International,Harrisburg,PA,EA,P,S,556672.0
102.0,CAE,Columbia Metropolitan,Columbia,SC,SO,P,S,537727.0
103.0,LBB,Lubbock International,Lubbock,TX,SW,P,S,536174.0
104.0,ICT,Wichita Mid-Continent,Wichita,KS,CE,P,S,527062.0
105.0,PNS,Pensacola Regional,Pensacola,FL,SO,P,S,520953.0
106.0,STT,Cyril E King,Charlotte Amalie,VI,SO,P,S,516389.0
107.0,GSN,Saipan International,Saipan Island,MP,WP,P,S,516137.0
108.0,BTV,Burlington International,Burlington,VT,NE,P,S,509031.0
109.0,ABE,Lehigh Valley International,Allentown,PA,EA,P,S,478367.0
110.0,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,SO,P,S,473148.0
111.0,FAT,Fresno Yosemite International,Fresno,CA,WP,P,S,457570.0
112.0,HPN,Westchester County,White Plains,NY,EA,P,S,456296.0
113.0,CID,The Eastern Iowa,Cedar Rapids,IA,CE,P,S,440797.0
114.0,LEX,Blue Grass,Lexington,KY,SO,P,S,440797.0
115.0,HRL,Valley International,Harlingen,TX,SW,P,S,439932.0
116.0,MAF,Midland International,Midland,TX,SW,P,S,437045.0
117.0,AMA,Amarillo International,Amarillo,TX,SW,P,S,424318.0
118.0,TLH,Tallahassee Regional,Tallahassee,FL,SO,P,S,424132.0
119.0,GCN,Grand Canyon National Park,Grand Canyon,AZ,WP,P,S,422061.0
120.0,GPT,Gulfport-Biloxi International,Gulfport,MS,SO,P,S,420769.0
121.0,CRP,Corpus Christi International,Corpus Christi,TX,SW,P,S,404151.0
122.0,JNU,Juneau International,Juneau,AK,AL,P,S,402117.0
123.0,ACY,Atlantic City International,Atlantic City,NJ,EA,P,S,386746.0
124.0,FAI,Fairbanks International,Fairbanks,AK,AL,P,S,384828.0
125.0,SBN,South Bend Regional,South Bend,IN,GL,P,S,375817.0
126.0,VPS,Eglin AFB,Valparaiso,FL,SO,P,S,375196.0
127.0,MLI,Quad City International,Moline,IL,GL,P,S,367688.0
128.0,SBA,Santa Barbara Municipal,Santa Barbara,CA,WP,P,S,363581.0
129.0,BTR,"Baton Rouge Metropolitan, Ryan Field",Baton Rouge,LA,SW,P,S,363419.0
130.0,XNA,Northwest Arkansas Regional,Fayetteville/Springdale/,AR,SW,P,S,360639.0
131.0,EUG,Mahlon Sweet Field,Eugene,OR,NM,P,S,356108.0
132.0,MOB,Mobile Regional,Mobile,AL,SO,P,S,356083.0
133.0,CAK,Akron-Canton Regional,Akron,OH,GL,P,S,349841.0
134.0,BIL,Billings Logan International,Billings,MT,NM,P,S,341308.0
135.0,GRB,Austin Straubel International,Green Bay,WI,GL,P,S,337737.0
136.0,FSD,Joe Foss Field,Sioux Falls,SD,GL,P,S,336252.0
137.0,TOL,Toledo Express,Toledo,OH,GL,P,N,329329.0
138.0,SGF,Springfield-Branson Regional,Springfield,MO,CE,P,N,320539.0
139.0,PIE,St Petersburg-Clearwater International,St Petersburg-Clearwater,FL,SO,P,N,319243.0
140.0,SHV,Shreveport Regional,Shreveport,LA,SW,P,N,309122.0
141.0,FNT,Bishop International,Flint,MI,GL,P,N,304809.0
142.0,ROA,Roanoke Regional/Woodrum Field,Roanoke,VA,EA,P,N,304265.0
143.0,LGB,Long Beach /Daugherty Field/,Long Beach,CA,WP,P,N,297130.0
144.0,FWA,Fort Wayne International,Fort Wayne,IN,GL,P,N,295469.0
145.0,MFE,McAllen Miller International,McAllen,TX,SW,P,N,287897.0
146.0,ACK,Nantucket Memorial,Nantucket,MA,NE,P,N,272460.0
147.0,LAN,Capital City,Lansing,MI,GL,P,N,269066.0
148.0,MLB,Melbourne International,Melbourne,FL,SO,P,N,262069.0
149.0,EYW,Key West International,Key West,FL,SO,P,N,261809.0
150.0,CHA,Lovell Field,Chattanooga,TN,SO,P,N,258554.0
151.0,AVL,Asheville Regional,Asheville,NC,SO,P,N,256215.0
152.0,BZN,Gallatin Field,Bozeman,MT,NM,P,N,255289.0
153.0,BGR,Bangor International,Bangor,ME,NE,P,N,254678.0
154.0,DAB,Daytona Beach International,Daytona Beach,FL,SO,P,N,252367.0
155.0,ATW,Outagamie County Regional,Appleton,WI,GL,P,N,244930.0
156.0,CRW,Yeager,Charleston,WV,EA,P,N,244592.0
157.0,MSO,Missoula International,Missoula,MT,NM,P,N,244110.0
158.0,MBS,Mbs International,Saginaw,MI,GL,P,N,243855.0
159.0,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,GL,P,N,235302.0
160.0,LNK,Lincoln Municipal,Lincoln,NE,CE,P,N,234074.0
161.0,ILM,Wilmington International,Wilmington,NC,SO,P,N,233881.0
162.0,FAR,Hector International,Fargo,ND,GL,P,N,222756.0
163.0,MFR,Rogue Valley International - Medford,Medford,OR,NM,P,N,221320.0
164.0,BMI,Central IL Regional Airport at Bloomington-Normal,Bloomington/Normal,IL,GL,P,N,218392.0
165.0,EVV,Evansville Regional,Evansville,IN,GL,P,N,218164.0
166.0,MGM,Montgomery Regional (Dannelly Field),Montgomery,AL,SO,P,N,212459.0
167.0,TRI,Tri-Cities Regional TN/VA,Bristol/Johnson/Kingsport,TN,SO,P,N,209915.0
168.0,PHF,Newport News/Williamsburg International,Newport News,VA,EA,P,N,206750.0
169.0,PSC,Tri-Cities,Pasco,WA,NM,P,N,204573.0
170.0,STX,Henry E Rohlsen,Christiansted,VI,SO,P,N,201691.0
171.0,SWF,Stewart International,Newburgh,NY,EA,P,N,197872.0
172.0,PIA,Greater Peoria Regional,Peoria,IL,GL,P,N,197162.0
173.0,HYA,Barnstable Municipal-Boardman/Polando Field,Hyannis,MA,NE,P,N,197106.0
174.0,MRY,Monterey Peninsula,Monterey,CA,WP,P,N,195788.0
175.0,TVC,Cherry Capital,Traverse City,MI,GL,P,N,188456.0
176.0,ASE,Aspen-Pitkin Co/Sardy Field,Aspen,CO,NM,P,N,187836.0
177.0,RAP,Rapid City Regional,Rapid City,SD,GL,P,N,186774.0
178.0,AVP,Wilkes-Barre/Scranton International,Wilkes-Barre/Scranton,PA,EA,P,N,186548.0
179.0,LFT,Lafayette Regional,Lafayette,LA,SW,P,N,173020.0
180.0,VGT,North Las Vegas,Las Vegas,NV,WP,P,N,170288.0
181.0,AGS,Augusta Regional at Bush Field,Augusta,GA,SO,P,N,167127.0
182.0,EGE,Eagle County Regional,Eagle,CO,NM,P,N,165639.0
183.0,JAC,Jackson Hole,Jackson,WY,NM,P,N,164960.0
184.0,PFN,Panama City-Bay Co International,Panama City,FL,SO,P,N,161877.0
185.0,FCA,Glacier Park International,Kalispell,MT,NM,P,N,156680.0
186.0,CHO,Charlottesville-Albemarle,Charlottesville,VA,EA,P,N,155863.0
187.0,RDM,Roberts Field,Redmond,OR,NM,P,N,144424.0
188.0,RST,Rochester International,Rochester,MN,GL,P,N,143446.0
189.0,SBP,San Luis Obispo County-Mc Chesney Field,San Luis Obispo,CA,WP,P,N,138884.0
190.0,DLH,Duluth International,Duluth,MN,GL,P,N,132682.0
191.0,BET,Bethel,Bethel,AK,AL,P,N,132665.0
192.0,GTF,Great Falls International,Great Falls,MT,NM,P,N,132421.0
193.0,BIS,Bismarck Municipal,Bismarck,ND,GL,P,N,131557.0
194.0,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,SO,P,N,131286.0
195.0,CWA,Central Wisconsin,Mosinee,WI,GL,P,N,130444.0
196.0,ERI,Erie International,Erie,PA,EA,P,N,127900.0
197.0,BFL,Meadows Field,Bakersfield,CA,WP,P,N,127006.0
198.0,AEX,Alexandria International,Alexandria,LA,SW,P,N,122638.0
199.0,GNV,Gainesville Regional,Gainesville,FL,SO,P,N,119995.0
200.0,IDA,Fanning Field,Idaho Falls,ID,NM,P,N,118090.0
201.0,GJT,Walker Field,Grand Junction,CO,NM,P,N,116472.0
202.0,UNV,University Park,State College,PA,EA,P,N,116113.0
203.0,BGM,Binghamton Regional/Edwin A Link Field,Binghamton,NY,EA,P,N,114907.0
204.0,CMI,University of Illinois-Willard,Champaign/Urbana,IL,GL,P,N,113860.0
205.0,LSE,La Crosse Municipal,La Crosse,WI,GL,P,N,108455.0
206.0,ENA,Kenai Municipal,Kenai,AK,AL,P,N,106673.0
207.0,ELM,Elmira/Corning Regional,Elmira/Corning,NY,EA,P,N,104717.0
208.0,KTN,Ketchikan International,Ketchikan,AK,AL,P,N,102634.0
209.0,MKK,Molokai,Kaunakakai,HI,WP,P,N,101884.0
210.0,HDN,Yampa Valley,Hayden,CO,NM,P,N,100725.0
211.0,ACV,Arcata,Arcata/Eureka,CA,WP,P,N,97840.0
212.0,ILE,Killeen Municipal,Killeen,TX,SW,P,N,96632.0
213.0,MLU,Monroe Regional,Monroe,LA,SW,P,N,96503.0
214.0,BLI,Bellingham International,Bellingham,WA,NM,P,N,93643.0
215.0,DRO,Durango-La Plata County,Durango,CO,NM,P,N,91405.0
216.0,FSM,Fort Smith Regional,Fort Smith,AR,SW,P,N,90311.0
