RO,ST,Locid,Airport Name,City,Svc Lvl,Hub,CY 2003 Enplanements,,,,
SO,GA,ATL,Hartsfield - Jackson Atlanta Intl,Atlanta,P,L,38893670.0,,,,
GL,IL,ORD,Chicago O'Hare Intl,Chicago,P,L,32920387.0,,,,
WP,CA,LAX,Los Angeles Intl,Los Angeles,P,L,26239584.0,,,,
SW,TX,DFW,Dallas/Fort Worth Intl,Fort Worth,P,L,24976881.0,,,,
WP,AZ,PHX,Phoenix Sky Harbor Intl,Phoenix,P,L,18252853.0,,,,
NM,CO,DEN,Denver Intl,Denver,P,L,17969754.0,,,,
WP,NV,LAS,McCarran Intl,Las Vegas,P,L,17097738.0,,,,
SW,TX,IAH,George Bush Intercontinental,Houston,P,L,16134684.0,,,,
GL,MN,MSP,"Minneapolis - St Paul Intl
Wold - Chamberlain",Minneapolis,P,L,16022988.0,,,,
GL,MI,DTW,Detroit Metropolitan Wayne County,Detroit,P,L,15754017.0,,,,
EA,NY,JFK,John F Kennedy Intl,New York,P,L,15676352.0,,,,
EA,NJ,EWR,Newark Liberty Intl,Newark,P,L,14628708.0,,,,
SO,FL,MIA,Miami Intl,Miami,P,L,14198321.0,,,,
WP,CA,SFO,San Francisco Intl,San Francisco,P,L,14079173.0,,,,
SO,FL,MCO,Orlando Intl,Orlando,P,L,13375162.0,,,,
NM,WA,SEA,Seattle - Tacoma Intl,Seattle,P,L,13109153.0,,,,
EA,PA,PHL,Philadelphia Intl,Philadelphia,P,L,11870928.0,,,,
SO,NC,CLT,Charlotte/Douglas Intl,Charlotte,P,L,11465366.0,,,,
EA,NY,LGA,La Guardia,New York,P,L,11367309.0,,,,
NE,MA,BOS,General Edward Lawrence Logan Intl,Boston,P,L,11087799.0,,,,
SO,KY,CVG,Cincinnati/Northern Kentucky Intl,Covington,P,L,10449930.0,,,,
CE,MO,STL,Lambert - St Louis Intl,St Louis,P,L,9922456.0,,,,
EA,MD,BWI,Baltimore - Washington Intl,Glen Burnie,P,L,9768040.0,,,,
WP,HI,HNL,Honolulu Intl,Honolulu,P,L,9044409.0,,,,
NM,UT,SLC,Salt Lake City Intl,Salt Lake City,P,L,8958003.0,,,,
GL,IL,MDW,Chicago Midway Intl,Chicago,P,L,8687215.0,,,,
SO,FL,FLL,Fort Lauderdale/Hollywood Intl,Fort Lauderdale,P,L,8682781.0,,,,
EA,VA,IAD,Washington Dulles Intl,Chantilly,P,L,8050506.0,,,,
SO,FL,TPA,Tampa Intl,Tampa,P,L,7672533.0,,,,
WP,CA,SAN,San Diego Intl,San Diego,P,L,7565196.0,,,,
