Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY2007 Enplanements,CY 2006 Enplanements,% Change
1.0,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,43236665.0,41352038.0,0.0456
2.0,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,36521585.0,36825097.0,-0.0082
3.0,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,30113985.0,29357327.0,0.0258
4.0,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,28482417.0,28627749.0,-0.0051
5.0,NM,CO,DEN,Denver,Denver International,P,L,24117623.0,22822111.0,0.0568
6.0,EA,NY,JFK,New York,John F Kennedy International,P,L,23401351.0,21071501.0,0.1106
7.0,WP,NV,LAS,Las Vegas,McCarran International,P,L,22537950.0,22028521.0,0.0231
8.0,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,20796173.0,20591909.0,0.0099
9.0,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,20767144.0,20479291.0,0.0141
10.0,EA,NJ,EWR,Newark,Newark Liberty International,P,L,18163652.0,17804107.0,0.0202
11.0,SO,FL,MCO,Orlando,Orlando International,P,L,17614679.0,16807534.0,0.048
12.0,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,17495135.0,17483468.0,0.0007
13.0,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,17280328.0,16236592.0,0.0643
14.0,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,16962563.0,17192410.0,-0.0134
15.0,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,16584780.0,14749568.0,0.1244
16.0,SO,FL,MIA,Miami,Miami International,P,L,16194162.0,15664791.0,0.0338
17.0,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15656653.0,15390848.0,0.0173
18.0,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,15419116.0,14703928.0,0.0486
19.0,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,13783297.0,13544552.0,0.0176
20.0,EA,NY,LGA,New York,La Guardia,P,L,12529890.0,12925697.0,-0.0306
21.0,EA,VA,IAD,Dulles International Airport,Washington Dulles International,P,L,11789441.0,11045217.0,0.0674
22.0,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,11079250.0,10204579.0,0.0857
23.0,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,10560906.0,10289129.0,0.0264
24.0,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshal,P,L,10487789.0,10297607.0,0.0185
25.0,WP,HI,HNL,Honolulu,Honolulu International,P,L,10393929.0,9855838.0,0.0546
26.0,SO,FL,TPA,Tampa,Tampa International,P,L,9306036.0,9187865.0,0.0129
27.0,WP,CA,SAN,San Diego,San Diego International,P,L,9138116.0,8724442.0,0.0474
28.0,GL,IL,MDW,Chicago,Chicago Midway International,P,L,9132836.0,8915292.0,0.0244
29.0,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,9038174.0,8973410.0,0.0072
30.0,SO,KY,CVG,Covington,Cincinnati/Northern Kentucky International,P,L,7728069.0,7984074.0,-0.0321
31.0,NM,OR,PDX,Portland,Portland International,P,M,7281057.0,6956712.0,0.0466
32.0,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,7144127.0,7076936.0,0.0095
33.0,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,7130801.0,7037400.0,0.0133
34.0,CE,MO,MCI,Kansas City,Kansas City International,P,M,5833064.0,5466672.0,0.067
35.0,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,5571219.0,5447482.0,0.0227
36.0,SO,TN,MEM,Memphis,Memphis International,P,M,5546321.0,5508235.0,0.0069
37.0,WP,CA,SMF,Sacramento,Sacramento International,P,M,5382463.0,5182641.0,0.0386
38.0,WP,CA,SJC,San Jose,Norman Y. Mineta San Jose International,P,M,5255257.0,5283407.0,-0.0053
39.0,SO,PR,SJU,San Juan,Luis Munoz Marin International,P,M,5149177.0,5226471.0,-0.0148
40.0,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4979553.0,4706587.0,0.058
41.0,WP,CA,SNA,Santa Ana,John Wayne Airport-Orange County,P,M,4948846.0,4777896.0,0.0358
42.0,SO,TN,BNA,Nashville,Nashville International,P,M,4887925.0,4779474.0,0.0227
43.0,EA,PA,PIT,Pittsburgh,Pittsburgh International,P,M,4875883.0,4946256.0,-0.0142
44.0,SW,TX,HOU,Houston,William P Hobby,P,M,4239375.0,4115021.0,0.0302
45.0,SW,TX,AUS,Austin,Austin-Bergstrom International,P,M,4181956.0,3945020.0,0.0601
46.0,GL,IN,IND,Indianapolis,Indianapolis International,P,M,4097398.0,4008638.0,0.0221
47.0,SW,TX,DAL,Dallas,Dallas Love Field,P,M,3988199.0,3443537.0,0.1582
48.0,SO,FL,RSW,Fort Myers,Southwest Florida International,P,M,3986928.0,3764223.0,0.0592
49.0,SW,TX,SAT,San Antonio,San Antonio International,P,M,3911726.0,3915428.0,-0.0009
50.0,GL,OH,CMH,Columbus,Port Columbus International,P,M,3827349.0,3336994.0,0.1469
51.0,SW,LA,MSY,Metairie,Louis Armstrong New Orleans International,P,M,3770246.0,3127963.0,0.2053
52.0,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,3751345.0,3630098.0,0.0334
53.0,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,3475345.0,3418310.0,0.0167
54.0,WP,CA,ONT,Ontario,Ontario International,P,M,3473272.0,3404361.0,0.0202
55.0,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,3239096.0,3176299.0,0.0198
56.0,NE,CT,BDL,Windsor Locks,Bradley International,P,M,3231374.0,3409938.0,-0.0524
57.0,WP,HI,OGG,Kahului,Kahului,P,M,3141449.0,3027106.0,0.0378
58.0,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,3138015.0,2971953.0,0.0559
59.0,WP,CA,BUR,Burbank,Bob Hope,P,M,2950652.0,2836413.0,0.0403
60.0,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,M,2677183.0,2522123.0,0.0615
61.0,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,2617964.0,2367390.0,0.1058
62.0,NE,RI,PVD,Warwick,Theodore Francis Green State,P,M,2499677.0,2588992.0,-0.0345
63.0,WP,NV,RNO,Reno,Reno/Tahoe International,P,M,2450451.0,2441502.0,0.0037
64.0,WP,AZ,TUS,Tucson,Tucson International,P,M,2178748.0,2090514.0,0.0422
65.0,CE,NE,OMA,Omaha,Eppley Airfield,P,M,2162954.0,2075306.0,0.0422
66.0,NE,NH,MHT,Manchester,Manchester,P,M,1920911.0,1931563.0,-0.0055
67.0,SO,KY,SDF,Louisville,Louisville International-Standiford Field,P,M,1912495.0,1836260.0,0.0415
68.0,EA,VA,ORF,Norfolk,Norfolk International,P,S,1867307.0,1862325.0,0.0027
69.0,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,1840760.0,1799977.0,0.0227
70.0,EA,VA,RIC,Highland Springs,Richmond International,P,S,1805992.0,1644419.0,0.0983
71.0,NM,WA,GEG,Spokane,Spokane International,P,S,1710425.0,1605069.0,0.0656
72.0,NM,ID,BOI,Boise,Boise Air Terminal/Gowen Field,P,S,1689046.0,1656677.0,0.0195
73.0,SW,TX,ELP,El Paso,El Paso International,P,S,1669792.0,1658102.0,0.0071
74.0,SO,AL,BHM,Birmingham,Birmingham International,P,S,1648476.0,1551339.0,0.0626
75.0,SW,OK,TUL,Tulsa,Tulsa International,P,S,1621017.0,1599853.0,0.0132
76.0,WP,HI,KOA,Kailua Kona,Kona International at Keahole,P,S,1519345.0,1450717.0,0.0473
77.0,WP,HI,LIH,Lihue,Lihue,P,S,1450512.0,1331432.0,0.0894
78.0,EA,NY,ROC,Rochester,Greater Rochester International,P,S,1431412.0,1417039.0,0.0101
79.0,EA,NY,ALB,Albany,Albany International,P,S,1423754.0,1443360.0,-0.0136
80.0,WP,GU,GUM,Agana,Guam International,P,S,1420257.0,1416354.0,0.0028
81.0,WP,CA,LGB,Long Beach,Long Beach /Daugherty Field/,P,S,1415280.0,1343151.0,0.0537
82.0,GL,OH,DAY,Dayton,James M Cox Dayton International,P,S,1412758.0,1303779.0,0.0836
83.0,SW,AR,LIT,Little Rock,Adams Field,P,S,1245098.0,1236223.0,0.0072
84.0,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,1179113.0,1128483.0,0.0449
85.0,EA,NY,ISP,Islip,Long Island MacArthur,P,S,1167515.0,1138061.0,0.0259
86.0,SO,SC,CHS,Charleston,Charleston AFB/International,P,S,1145129.0,944143.0,0.2129
87.0,SO,NC,GSO,Greensboro,Piedmont Triad International,P,S,1089436.0,1082846.0,0.0061
88.0,NM,CO,COS,Colorado Springs,City of Colorado Springs Municipal,P,S,1040879.0,997763.0,0.0432
89.0,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,992625.0,950904.0,0.0439
90.0,GL,MI,GRR,Grand Rapids,Gerald R. Ford International,P,S,992539.0,1005586.0,-0.013
91.0,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,985597.0,915135.0,0.077
92.0,CE,IA,DSM,Des Moines,Des Moines International,P,S,963231.0,947393.0,0.0167
93.0,SO,TN,TYS,Maryville,McGhee Tyson,P,S,888995.0,815130.0,0.0906
94.0,SO,FL,PNS,Pensacola,Pensacola Regional,P,S,832158.0,807069.0,0.0311
95.0,EA,NY,HPN,White Plains,Westchester County,P,S,823478.0,511559.0,0.6097
96.0,NE,ME,PWM,Portland,Portland International Jetport,P,S,819995.0,710142.0,0.1547
97.0,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,806679.0,771867.0,0.0451
98.0,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,804742.0,692364.0,0.1623
99.0,WP,HI,ITO,Hilo,Hilo International,P,S,803627.0,695801.0,0.155
100.0,GL,WI,MSN,Madison,Dane County Regional-Truax Field,P,S,783937.0,803503.0,-0.0244
101.0,SO,FL,SRQ,Sarasota/Bradenton,Sarasota/Bradenton International,P,S,782497.0,712379.0,0.0984
102.0,SO,SC,GSP,Greer,Greenville Spartanburg International,P,S,774450.0,756490.0,0.0237
103.0,CE,KS,ICT,Wichita,Wichita Mid-Continent,P,S,769124.0,710380.0,0.0827
104.0,SO,MS,JAN,Jackson,Jackson-Evers International,P,S,717576.0,727658.0,-0.0139
105.0,NE,VT,BTV,Burlington,Burlington International,P,S,703186.0,681678.0,0.0316
106.0,GL,OH,CAK,Akron,Akron-Canton Regional,P,S,691603.0,710337.0,-0.0264
107.0,EA,PA,MDT,Harrisburg,Harrisburg International,P,S,643285.0,577559.0,0.1138
108.0,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,636032.0,623997.0,0.0193
109.0,SO,SC,CAE,Columbia,Columbia Metropolitan,P,S,620918.0,633835.0,-0.0204
110.0,SO,AL,HSV,Huntsville,Huntsville International-Carl T Jones Field,P,S,607205.0,561395.0,0.0816
111.0,SO,VI,STT,Charlotte Amalie,Cyril E King,P,S,599509.0,574402.0,0.0437
112.0,SW,TX,LBB,Lubbock,Lubbock Preston Smith International,P,S,577587.0,564799.0,0.0226
