Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 09 Boardings,CY 08 Boardings,% Change,,
1.0,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,42280868.0,43761280.0,-0.0338,,
2.0,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,31135732.0,33683991.0,-0.0757,,
3.0,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,27439897.0,28861477.0,-0.0493,,
4.0,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,26663984.0,27219285.0,-0.0204,,
5.0,NM,CO,DEN,Denver,Denver International,P,L,24013669.0,24287939.0,-0.0113,,
6.0,EA,NY,JFK,New York,John F Kennedy International,P,L,22710272.0,23620948.0,-0.0386,,
7.0,WP,NV,LAS,Las Vegas,McCarran International,P,L,19445952.0,21024443.0,-0.0751,,
8.0,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19290239.0,20030898.0,-0.037,,
9.0,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,18559647.0,19450576.0,-0.0458,,
10.0,WP,CA,SFO,San Francisco ,San Francisco International,P,L,18467908.0,18135827.0,0.0183,,
11.0,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,17165376.0,17281425.0,-0.0067,,
12.0,EA,NJ,EWR,Newark,Newark Liberty International,P,L,16659441.0,17599578.0,-0.0534,,
13.0,SO,FL,MCO,Orlando,Orlando International,P,L,16371016.0,17288480.0,-0.0531,,
14.0,SO,FL,MIA,Miami,Miami International,P,L,16187768.0,16377488.0,-0.0116,,
15.0,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,15551206.0,16369324.0,-0.05,,
16.0,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,15273092.0,15839504.0,-0.0358,,
17.0,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,15211402.0,16998174.0,-0.1051,,
18.0,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,15002961.0,15586852.0,-0.0375,,
19.0,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,12566797.0,12820489.0,-0.0198,,
20.0,EA,VA,IAD,Dulles,Washington Dulles International,P,L,11132098.0,11348775.0,-0.0191,,
21.0,EA,NY,LGA,New York,La Guardia,P,L,11084300.0,11567586.0,-0.0418,,
22.0,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshal,P,L,10338950.0,10215225.0,0.0121,,
23.0,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,10258118.0,11020091.0,-0.0691,,
24.0,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,9903821.0,9993198.0,-0.0089,,
25.0,WP,HI,HNL,Honolulu,Honolulu International,P,L,8739389.0,9013440.0,-0.0304,,
26.0,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,8490288.0,8704466.0,-0.0246,,
27.0,WP,CA,SAN,San Diego,San Diego International,P,L,8453854.0,9007617.0,-0.0615,,
28.0,SO,FL,TPA,Tampa,Tampa International,P,L,8263294.0,8871917.0,-0.0686,,
29.0,GL,IL,MDW,Chicago,Chicago Midway International,P,L,8253620.0,8021383.0,0.029,,
,,,29.0,,,,L ,,,,,
30.0,NM,OR,PDX,Portland,Portland International,P,M,6430119.0,7090526.0,-0.0931,,
31.0,CE,MO,STL,St. Louis,Lambert-St Louis International,P,M,6084070.0,6740468.0,-0.0974,,
32.0,SO,KY,CVG,Greater Cincinnati International Airport,Cincinnati/Northern Kentucky International,P,M,5194214.0,6648600.0,-0.2188,,
33.0,SO,TN,MEM,Memphis,Memphis International,P,M,5054191.0,5376818.0,-0.06,,
34.0,CE,MO,MCI,Kansas City,Kansas City International,P,M,4894349.0,5386242.0,-0.0913,,
35.0,GL,OH,CLE,Cleveland,Cleveland-Hopkins International,P,M,4704329.0,5387625.0,-0.1268,,
36.0,WP,CA,OAK,Oakland,Metropolitan Oakland International,P,M,4612631.0,5583748.0,-0.1739,,
37.0,WP,CA,SMF,Sacramento,Sacramento International,P,M,4460600.0,4986771.0,-0.1055,,
38.0,SO,NC,RDU,Raleigh,Raleigh-Durham International,P,M,4435624.0,4792909.0,-0.0745,,
