Rank,FAA Region,ST,Locid,City,Airport Name,Arpt Category,Hub,CY 11 Enplanements,CY 10 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,44414121,43130585,0.0298
2,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,31892301,32171831,-0.0087
3,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,30528737,28857755,0.0579
4,SW,TX,DFW,Fort Worth,Dallas/Fort Worth International,P,L,27518358,27100656,0.0154
5,NM,CO,DEN,Denver,Denver International,P,L,25667499,25241962,0.0169
6,EA,NY,JFK,New York,John F Kennedy International,P,L,23664832,22934047,0.0319
7,WP,CA,SFO,San Francisco ,San Francisco International,P,L,20056568,19359003,0.036
8,WP,NV,LAS,Las Vegas,McCarran International,P,L,19872617,18996738,0.0461
9,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,19750306,18907171,0.0446
10,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19306660,19528631,-0.0114
11,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,19022535,18629181,0.0211
12,SO,FL,MIA,Miami,Miami International,P,L,18342158,17017654,0.0778
13,SO,FL,MCO,Orlando,Orlando International,P,L,17250415,17017491,0.0137
14,EA,NJ,EWR,Newark,Newark Liberty International,P,L,16814092,16571754,0.0146
15,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,15971676,15406243,0.0367
16,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,15895653,15512487,0.0247
17,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,15716865,15643890,0.0047
18,EA,PA,PHL,Philadelphia,Philadelphia International,P,L,14883180,14951254,-0.0046
19,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,14180730,13561814,0.0456
20,EA,NY,LGA,New York,La Guardia,P,L,11989227,12001501,-0.001
21,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,11332466,10829810,0.0464
22,EA,MD,BWI,Glen Burnie,Baltimore/Washington International Thurgood Marshall,P,L,11067319,10848633,0.0202
23,EA,VA,IAD,Dulles,Washington Dulles International,P,L,11044383,11276481,-0.0206
24,NM,UT,SLC,Salt Lake City,Salt Lake City International,P,L,9701756,9910493,-0.0211
25,GL,IL,MDW,Chicago,Chicago Midway International,P,L,9134576,8518957,0.0723
26,EA,VA,DCA,Arlington,Ronald Reagan Washington National,P,L,9053004,8736804,0.0362
27,WP,HI,HNL,Honolulu,Honolulu International,P,L,8689699,8740077,-0.0058
28,WP,CA,SAN,San Diego,San Diego International,P,L,8465683,8430509,0.0042
