Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 17 Enplanements,CY 16 Enplanements,% Change
1,SO,GA,ATL,Atlanta,Hartsfield - Jackson Atlanta International,P,L,50251964,50501858,-0.0049
2,WP,CA,LAX,Los Angeles,Los Angeles International,P,L,41232432,39636042,0.0403
3,GL,IL,ORD,Chicago,Chicago O'Hare International,P,L,38593028,37589899,0.0267
4,SW,TX,DFW,Fort Worth,Dallas-Fort Worth International,P,L,31816933,31283579,0.017
5,NM,CO,DEN,Denver,Denver International,P,L,29809097,28267394,0.0545
6,EA,NY,JFK,New York,John F Kennedy International,P,L,29533154,29239151,0.0101
7,WP,CA,SFO,San Francisco International Airport,San Francisco International,P,L,26900048,25707101,0.0464
8,WP,NV,LAS,Las Vegas,McCarran International,P,L,23364393,22833267,0.0233
9,NM,WA,SEA,Seattle,Seattle-Tacoma International,P,L,22639124,21887110,0.0344
10,SO,NC,CLT,Charlotte,Charlotte/Douglas International,P,L,22011251,21511880,0.0232
11,EA,NJ,EWR,Newark,Newark Liberty International,P,L,21571198,19923009,0.0827
12,SO,FL,MCO,Orlando,Orlando International,P,L,21565448,20283541,0.0632
13,WP,AZ,PHX,Phoenix,Phoenix Sky Harbor International,P,L,21185458,20896265,0.0138
14,SO,FL,MIA,Miami,Miami International,P,L,20709225,20875813,-0.008
15,SW,TX,IAH,Houston,George Bush Intercontinental/Houston,P,L,19603731,20062072,-0.0228
16,NE,MA,BOS,Boston,General Edward Lawrence Logan International,P,L,18759742,17759044,0.0563
17,GL,MN,MSP,Minneapolis,Minneapolis-St Paul International/Wold-Chamberlain,P,L,18409704,18123844,0.0158
18,GL,MI,DTW,Detroit,Detroit Metropolitan Wayne County,P,L,17036092,16847135,0.0112
19,SO,FL,FLL,Fort Lauderdale,Fort Lauderdale/Hollywood International,P,L,15817043,14263270,0.1089
20,EA,NY,LGA,New York,Laguardia,P,L,14614802,14762593,-0.01
